cycle chargeConsumedActive chargeConsumedIdle packetsgenerated PacketsReachedTheDAGROOT droppedNoRoute droppedNoTxCells droppedQueueFull droppedMacRetries idleListening AverageQueueDelay numTx numRxCells numTxCells aveHops
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 49.2 0 0 0 0 0 0 2 0 0 7 0 0
2 0 221.39999999999998 0 0 0 0 0 0 9 0 0 7 0 0
3 538.3 221.39999999999998 0 0 0 7 0 0 9 0 0 7 0 0
4 1076.6 221.39999999999998 0 0 0 14 0 0 9 0 0 7 0 0
5 1614.9000000000005 221.39999999999998 0 0 0 21 0 0 9 0 0 7 0 0
6 2153.200000000001 221.39999999999998 0 0 0 28 0 0 9 0 0 7 0 0
7 2691.500000000002 221.39999999999998 0 0 0 35 0 0 9 0 0 7 0 0
8 3229.8000000000025 221.39999999999998 0 0 0 42 0 0 9 0 0 7 0 0
9 3768.100000000003 221.39999999999998 0 0 0 49 0 0 9 0 0 7 0 0
10 4306.400000000002 221.39999999999998 0 0 0 56 0 0 9 0 0 7 0 0
11 4844.7 221.39999999999998 0 0 0 63 0 0 9 0 0 7 0 0
12 5382.999999999997 221.39999999999998 0 0 0 70 0 0 9 0 0 7 0 0
13 5921.299999999995 221.39999999999998 0 0 0 77 0 0 9 0 0 7 0 0
14 6459.599999999992 221.39999999999998 0 0 0 84 0 0 9 0 0 7 0 0
15 6997.89999999999 221.39999999999998 0 0 0 91 0 0 9 0 0 7 0 0
16 7536.199999999987 221.39999999999998 0 0 0 98 0 0 9 0 0 7 0 0
17 8074.4999999999845 221.39999999999998 0 0 0 105 0 0 9 0 0 7 0 0
18 8612.799999999983 221.39999999999998 0 0 0 112 0 0 9 0 0 7 0 0
