cycle chargeConsumedActive chargeConsumedIdle packetsgenerated PacketsReachedTheDAGROOT droppedNoRoute droppedNoTxCells droppedQueueFull droppedMacRetries idleListening AverageQueueDelay numTx numRxCells numTxCells aveHops
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 24.6 1 0 0 0 0 0 1 0 0 4 5 0
2 566.88 24.6 1 0 0 0 0 0 1 9.25 4 4 5 0
3 631.7 123.0 1 0 0 0 0 0 5 26.4 5 4 5 0
4 631.7 221.39999999999998 1 0 0 0 0 0 9 26.4 5 4 5 0
5 631.7 319.8 2 0 0 0 0 0 13 26.4 5 4 5 0
6 1198.58 319.8 2 0 0 0 0 0 13 19.22222222222222 9 4 5 0
7 1263.3999999999999 418.2000000000001 2 0 0 0 0 0 17 26.8 10 4 5 0
8 1263.3999999999999 516.6000000000001 2 0 0 0 0 0 21 26.8 10 4 5 0
9 1263.3999999999999 615.0000000000002 2 0 0 0 0 0 25 26.8 10 4 5 0
10 1263.3999999999999 713.4000000000003 2 0 0 0 0 0 29 26.8 10 4 5 0
11 1263.3999999999999 811.8000000000004 2 0 0 0 0 0 33 26.8 10 4 5 0
12 1263.3999999999999 910.2000000000005 2 0 0 0 0 0 37 26.8 10 4 5 0
13 1263.3999999999999 1008.6000000000006 2 0 0 0 0 0 41 26.8 10 4 5 0
14 1263.3999999999999 1107.0000000000002 2 0 0 0 0 0 45 26.8 10 4 5 0
15 1263.3999999999999 1205.3999999999999 2 0 0 0 0 0 49 26.8 10 4 5 0
16 1263.3999999999999 1303.7999999999995 2 0 0 0 0 0 53 26.8 10 4 5 0
17 1263.3999999999999 1402.1999999999991 2 0 0 0 0 0 57 26.8 10 4 5 0
18 1263.3999999999999 1500.5999999999988 2 0 0 0 0 0 61 26.8 10 4 5 0
19 1263.3999999999999 1598.9999999999984 2 0 0 0 0 0 65 26.8 10 4 5 0
20 1263.3999999999999 1697.399999999998 2 0 0 0 0 0 69 26.8 10 4 5 0
21 1263.3999999999999 1795.7999999999977 2 0 0 0 0 0 73 26.8 10 4 5 0
22 1263.3999999999999 1894.1999999999973 2 0 0 0 0 0 77 26.8 10 4 5 0
23 1263.3999999999999 1992.599999999997 2 0 0 0 0 0 81 26.8 10 4 5 0
24 1263.3999999999999 2090.999999999997 2 0 0 0 0 0 85 26.8 10 4 5 0
25 1263.3999999999999 2189.3999999999965 2 0 0 0 0 0 89 26.8 10 4 5 0
26 1263.3999999999999 2287.799999999996 2 0 0 0 0 0 93 26.8 10 4 5 0
27 1263.3999999999999 2386.1999999999957 2 0 0 0 0 0 97 26.8 10 4 5 0
28 1263.3999999999999 2484.5999999999954 2 0 0 0 0 0 101 26.8 10 4 5 0
29 1263.3999999999999 2582.999999999995 2 0 0 0 0 0 105 26.8 10 4 5 0
30 1263.3999999999999 2681.3999999999946 2 0 0 0 0 0 109 26.8 10 4 5 0
31 1263.3999999999999 2779.7999999999943 2 0 0 0 0 0 113 26.8 10 4 5 0
32 1263.3999999999999 2878.199999999994 2 0 0 0 0 0 117 26.8 10 4 5 0
33 1263.3999999999999 2976.5999999999935 2 0 0 0 0 0 121 26.8 10 4 5 0
34 1263.3999999999999 3074.999999999993 2 0 0 0 0 0 125 26.8 10 4 5 0
35 1263.3999999999999 3173.399999999993 2 0 0 0 0 0 129 26.8 10 4 5 0
36 1263.3999999999999 3271.7999999999925 2 0 0 0 0 0 133 26.8 10 4 5 0
37 1263.3999999999999 3370.199999999992 2 0 0 0 0 0 137 26.8 10 4 5 0
38 1263.3999999999999 3468.5999999999917 2 0 0 0 0 0 141 26.8 10 4 5 0
39 1263.3999999999999 3566.9999999999914 2 0 0 0 0 0 145 26.8 10 4 5 0
40 1263.3999999999999 3665.399999999991 2 0 0 0 0 0 149 26.8 10 4 5 0
41 1263.3999999999999 3763.7999999999906 2 0 0 0 0 0 153 26.8 10 4 5 0
42 1263.3999999999999 3862.1999999999903 2 0 0 0 0 0 157 26.8 10 4 5 0
43 1263.3999999999999 3960.59999999999 2 0 0 0 0 0 161 26.8 10 4 5 0
44 1263.3999999999999 4058.9999999999895 2 0 0 0 0 0 165 26.8 10 4 5 0
45 1263.3999999999999 4157.3999999999905 2 0 0 0 0 0 169 26.8 10 4 5 0
46 1263.3999999999999 4255.799999999992 2 0 0 0 0 0 173 26.8 10 4 5 0
47 1263.3999999999999 4354.199999999993 2 0 0 0 0 0 177 26.8 10 4 5 0
48 1263.3999999999999 4452.599999999995 2 0 0 0 0 0 181 26.8 10 4 5 0
49 1263.3999999999999 4550.999999999996 2 0 0 0 0 0 185 26.8 10 4 5 0
50 1263.3999999999999 4649.399999999998 2 0 0 0 0 0 189 26.8 10 4 5 0
51 1263.3999999999999 4747.799999999999 2 0 0 0 0 0 193 26.8 10 4 5 0
52 1263.3999999999999 4846.200000000001 2 0 0 0 0 0 197 26.8 10 4 5 0
53 1263.3999999999999 4944.600000000002 2 0 0 0 0 0 201 26.8 10 4 5 0
54 1263.3999999999999 5043.000000000004 2 0 0 0 0 0 205 26.8 10 4 5 0
55 1263.3999999999999 5141.400000000005 2 0 0 0 0 0 209 26.8 10 4 5 0
56 1263.3999999999999 5239.800000000007 2 0 0 0 0 0 213 26.8 10 4 5 0
57 1263.3999999999999 5338.200000000008 2 0 0 0 0 0 217 26.8 10 4 5 0
58 1263.3999999999999 5436.6000000000095 2 0 0 0 0 0 221 26.8 10 4 5 0
59 1263.3999999999999 5535.000000000011 2 0 0 0 0 0 225 26.8 10 4 5 0
60 1263.3999999999999 5633.400000000012 2 0 0 0 0 0 229 26.8 10 4 5 0
61 1263.3999999999999 5731.800000000014 2 0 0 0 0 0 233 26.8 10 4 5 0
62 1263.3999999999999 5830.200000000015 2 0 0 0 0 0 237 26.8 10 4 5 0
63 1263.3999999999999 5928.600000000017 2 0 0 0 0 0 241 26.8 10 4 5 0
64 1263.3999999999999 6027.000000000018 2 0 0 0 0 0 245 26.8 10 4 5 0
65 1263.3999999999999 6125.40000000002 2 0 0 0 0 0 249 26.8 10 4 5 0
66 1263.3999999999999 6223.800000000021 2 0 0 0 0 0 253 26.8 10 4 5 0
67 1263.3999999999999 6322.200000000023 2 0 0 0 0 0 257 26.8 10 4 5 0
68 1263.3999999999999 6420.600000000024 2 0 0 0 0 0 261 26.8 10 4 5 0
69 1263.3999999999999 6519.0000000000255 2 0 0 0 0 0 265 26.8 10 4 5 0
70 1263.3999999999999 6617.400000000027 2 0 0 0 0 0 269 26.8 10 4 5 0
71 1263.3999999999999 6715.800000000028 2 0 0 0 0 0 273 26.8 10 4 5 0
72 1263.3999999999999 6814.20000000003 2 0 0 0 0 0 277 26.8 10 4 5 0
73 1263.3999999999999 6912.600000000031 2 0 0 0 0 0 281 26.8 10 4 5 0
74 1263.3999999999999 7011.000000000033 2 0 0 0 0 0 285 26.8 10 4 5 0
75 1263.3999999999999 7109.400000000034 2 0 0 0 0 0 289 26.8 10 4 5 0
76 1263.3999999999999 7207.800000000036 2 0 0 0 0 0 293 26.8 10 4 5 0
77 1263.3999999999999 7306.200000000037 2 0 0 0 0 0 297 26.8 10 4 5 0
