cycle chargeConsumedActive chargeConsumedIdle packetsgenerated PacketsReachedTheDAGROOT droppedNoRoute droppedNoTxCells droppedQueueFull droppedMacRetries idleListening AverageQueueDelay numTx numRxCells numTxCells aveHops
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 1 0 0
2 0 24.6 0 0 0 0 0 0 1 0 0 1 0 0
3 0 49.2 0 0 0 0 0 0 2 0 0 1 0 0
4 76.9 49.2 0 0 0 1 0 0 2 0 0 1 0 0
5 153.8 49.2 0 0 0 2 0 0 2 0 0 1 0 0
6 230.70000000000002 49.2 0 0 0 3 0 0 2 0 0 1 0 0
7 307.6 49.2 0 0 0 4 0 0 2 0 0 1 0 0
8 384.5 49.2 0 0 0 5 0 0 2 0 0 1 0 0
9 461.4 49.2 0 0 0 6 0 0 2 0 0 1 0 0
10 538.3 49.2 0 0 0 7 0 0 2 0 0 1 0 0
11 615.1999999999999 49.2 0 0 0 8 0 0 2 0 0 1 0 0
12 692.0999999999999 49.2 0 0 0 9 0 0 2 0 0 1 0 0
13 768.9999999999999 49.2 0 0 0 10 0 0 2 0 0 1 0 0
14 845.8999999999999 49.2 0 0 0 11 0 0 2 0 0 1 0 0
15 922.7999999999998 49.2 0 0 0 12 0 0 2 0 0 1 0 0
16 999.6999999999998 49.2 0 0 0 13 0 0 2 0 0 1 0 0
17 1076.6 49.2 0 0 0 14 0 0 2 0 0 1 0 0
18 1153.5 49.2 0 0 0 15 0 0 2 0 0 1 0 0
