cycle chargeConsumedActive chargeConsumedIdle packetsgenerated PacketsReachedTheDAGROOT droppedNoRoute droppedNoTxCells droppedQueueFull droppedMacRetries idleListening AverageQueueDelay numTx numRxCells numTxCells aveHops
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 1598.9999999999984 0 0 0 0 0 0 65 0 0 72 0 0
2 0 3370.199999999992 0 0 0 0 0 0 137 0 0 72 0 0
3 5536.7999999999965 3370.199999999992 0 72 0 0 0 0 137 0 0 72 0 1.0
4 5536.7999999999965 5141.400000000005 0 72 0 0 0 0 209 0 0 72 0 1.0
5 5536.7999999999965 6912.600000000031 0 72 0 0 0 0 281 0 0 72 0 1.0
6 5536.7999999999965 8683.800000000057 0 72 0 0 0 0 353 0 0 72 0 1.0
7 5536.7999999999965 10455.000000000084 0 72 0 0 0 0 425 0 0 72 0 1.0
8 5536.7999999999965 12226.20000000011 0 72 0 0 0 0 497 0 0 72 0 1.0
9 5536.7999999999965 13997.400000000136 0 72 0 0 0 0 569 0 0 72 0 1.0
10 5536.7999999999965 15768.600000000162 0 72 0 0 0 0 641 0 0 72 0 1.0
11 5536.7999999999965 17539.800000000105 0 72 0 0 0 0 713 0 0 72 0 1.0
12 5536.7999999999965 19311.0 0 72 0 0 0 0 785 0 0 72 0 1.0
13 5536.7999999999965 21082.199999999895 0 72 0 0 0 0 857 0 0 72 0 1.0
14 5536.7999999999965 22853.39999999979 0 72 0 0 0 0 929 0 0 72 0 1.0
15 5536.7999999999965 24624.599999999686 0 72 0 0 0 0 1001 0 0 72 0 1.0
16 5536.7999999999965 26395.79999999958 0 72 0 0 0 0 1073 0 0 72 0 1.0
17 5536.7999999999965 28166.999999999476 0 72 0 0 0 0 1145 0 0 72 0 1.0
18 5536.7999999999965 29938.19999999937 0 72 0 0 0 0 1217 0 0 72 0 1.0
