cycle chargeConsumedActive chargeConsumedIdle packetsgenerated PacketsReachedTheDAGROOT droppedNoRoute droppedNoTxCells droppedQueueFull droppedMacRetries idleListening AverageQueueDelay numTx numRxCells numTxCells aveHops
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 1 0 0 0 0 0 0 0 0 2 3 0
2 348.26 0 1 0 0 0 0 0 0 8.0 3 2 3 0
3 348.26 49.2 1 0 0 0 0 0 2 8.0 3 2 3 0
4 348.26 98.4 1 0 0 0 0 0 4 8.0 3 2 3 0
5 348.26 147.6 2 0 0 0 0 0 6 8.0 3 2 3 0
6 696.52 147.6 2 0 0 0 0 0 6 8.666666666666666 6 2 3 0
7 696.52 196.79999999999998 2 0 0 0 0 0 8 8.666666666666666 6 2 3 0
8 696.52 245.99999999999997 2 0 0 0 0 0 10 8.666666666666666 6 2 3 0
9 696.52 295.2 2 0 0 0 0 0 12 8.666666666666666 6 2 3 0
10 696.52 344.40000000000003 2 0 0 0 0 0 14 8.666666666666666 6 2 3 0
11 696.52 393.6000000000001 2 0 0 0 0 0 16 8.666666666666666 6 2 3 0
12 696.52 442.8000000000001 2 0 0 0 0 0 18 8.666666666666666 6 2 3 0
13 696.52 492.00000000000017 2 0 0 0 0 0 20 8.666666666666666 6 2 3 0
14 696.52 541.2000000000002 2 0 0 0 0 0 22 8.666666666666666 6 2 3 0
15 696.52 590.4000000000002 2 0 0 0 0 0 24 8.666666666666666 6 2 3 0
16 696.52 639.6000000000003 2 0 0 0 0 0 26 8.666666666666666 6 2 3 0
17 696.52 688.8000000000003 2 0 0 0 0 0 28 8.666666666666666 6 2 3 0
18 696.52 738.0000000000003 2 0 0 0 0 0 30 8.666666666666666 6 2 3 0
19 696.52 787.2000000000004 2 0 0 0 0 0 32 8.666666666666666 6 2 3 0
20 696.52 836.4000000000004 2 0 0 0 0 0 34 8.666666666666666 6 2 3 0
21 696.52 885.6000000000005 2 0 0 0 0 0 36 8.666666666666666 6 2 3 0
22 696.52 934.8000000000005 2 0 0 0 0 0 38 8.666666666666666 6 2 3 0
23 696.52 984.0000000000006 2 0 0 0 0 0 40 8.666666666666666 6 2 3 0
24 696.52 1033.2000000000005 2 0 0 0 0 0 42 8.666666666666666 6 2 3 0
25 696.52 1082.4000000000003 2 0 0 0 0 0 44 8.666666666666666 6 2 3 0
26 696.52 1131.6000000000001 2 0 0 0 0 0 46 8.666666666666666 6 2 3 0
27 696.52 1180.8 2 0 0 0 0 0 48 8.666666666666666 6 2 3 0
28 696.52 1229.9999999999998 2 0 0 0 0 0 50 8.666666666666666 6 2 3 0
29 696.52 1279.1999999999996 2 0 0 0 0 0 52 8.666666666666666 6 2 3 0
30 696.52 1328.3999999999994 2 0 0 0 0 0 54 8.666666666666666 6 2 3 0
31 696.52 1377.5999999999992 2 0 0 0 0 0 56 8.666666666666666 6 2 3 0
32 696.52 1426.799999999999 2 0 0 0 0 0 58 8.666666666666666 6 2 3 0
33 696.52 1475.9999999999989 2 0 0 0 0 0 60 8.666666666666666 6 2 3 0
34 696.52 1525.1999999999987 2 0 0 0 0 0 62 8.666666666666666 6 2 3 0
35 696.52 1574.3999999999985 2 0 0 0 0 0 64 8.666666666666666 6 2 3 0
36 696.52 1623.5999999999983 2 0 0 0 0 0 66 8.666666666666666 6 2 3 0
37 696.52 1672.7999999999981 2 0 0 0 0 0 68 8.666666666666666 6 2 3 0
38 696.52 1721.999999999998 2 0 0 0 0 0 70 8.666666666666666 6 2 3 0
39 696.52 1771.1999999999978 2 0 0 0 0 0 72 8.666666666666666 6 2 3 0
40 696.52 1820.3999999999976 2 0 0 0 0 0 74 8.666666666666666 6 2 3 0
41 696.52 1869.5999999999974 2 0 0 0 0 0 76 8.666666666666666 6 2 3 0
42 696.52 1918.7999999999972 2 0 0 0 0 0 78 8.666666666666666 6 2 3 0
43 696.52 1967.999999999997 2 0 0 0 0 0 80 8.666666666666666 6 2 3 0
44 696.52 2017.1999999999969 2 0 0 0 0 0 82 8.666666666666666 6 2 3 0
45 696.52 2066.399999999997 2 0 0 0 0 0 84 8.666666666666666 6 2 3 0
46 696.52 2115.5999999999967 2 0 0 0 0 0 86 8.666666666666666 6 2 3 0
47 696.52 2164.7999999999965 2 0 0 0 0 0 88 8.666666666666666 6 2 3 0
48 696.52 2213.9999999999964 2 0 0 0 0 0 90 8.666666666666666 6 2 3 0
49 696.52 2263.199999999996 2 0 0 0 0 0 92 8.666666666666666 6 2 3 0
50 696.52 2312.399999999996 2 0 0 0 0 0 94 8.666666666666666 6 2 3 0
51 696.52 2361.599999999996 2 0 0 0 0 0 96 8.666666666666666 6 2 3 0
52 696.52 2410.7999999999956 2 0 0 0 0 0 98 8.666666666666666 6 2 3 0
53 696.52 2459.9999999999955 2 0 0 0 0 0 100 8.666666666666666 6 2 3 0
54 696.52 2509.1999999999953 2 0 0 0 0 0 102 8.666666666666666 6 2 3 0
55 696.52 2558.399999999995 2 0 0 0 0 0 104 8.666666666666666 6 2 3 0
56 696.52 2607.599999999995 2 0 0 0 0 0 106 8.666666666666666 6 2 3 0
57 696.52 2656.7999999999947 2 0 0 0 0 0 108 8.666666666666666 6 2 3 0
58 696.52 2705.9999999999945 2 0 0 0 0 0 110 8.666666666666666 6 2 3 0
59 696.52 2755.1999999999944 2 0 0 0 0 0 112 8.666666666666666 6 2 3 0
60 696.52 2804.399999999994 2 0 0 0 0 0 114 8.666666666666666 6 2 3 0
61 696.52 2853.599999999994 2 0 0 0 0 0 116 8.666666666666666 6 2 3 0
62 696.52 2902.799999999994 2 0 0 0 0 0 118 8.666666666666666 6 2 3 0
63 696.52 2951.9999999999936 2 0 0 0 0 0 120 8.666666666666666 6 2 3 0
64 696.52 3001.1999999999935 2 0 0 0 0 0 122 8.666666666666666 6 2 3 0
65 696.52 3050.3999999999933 2 0 0 0 0 0 124 8.666666666666666 6 2 3 0
66 696.52 3099.599999999993 2 0 0 0 0 0 126 8.666666666666666 6 2 3 0
67 696.52 3148.799999999993 2 0 0 0 0 0 128 8.666666666666666 6 2 3 0
68 696.52 3197.9999999999927 2 0 0 0 0 0 130 8.666666666666666 6 2 3 0
69 696.52 3247.1999999999925 2 0 0 0 0 0 132 8.666666666666666 6 2 3 0
70 696.52 3296.3999999999924 2 0 0 0 0 0 134 8.666666666666666 6 2 3 0
71 696.52 3345.599999999992 2 0 0 0 0 0 136 8.666666666666666 6 2 3 0
72 696.52 3394.799999999992 2 0 0 0 0 0 138 8.666666666666666 6 2 3 0
73 696.52 3443.999999999992 2 0 0 0 0 0 140 8.666666666666666 6 2 3 0
74 696.52 3493.1999999999916 2 0 0 0 0 0 142 8.666666666666666 6 2 3 0
75 696.52 3542.3999999999915 2 0 0 0 0 0 144 8.666666666666666 6 2 3 0
76 696.52 3591.5999999999913 2 0 0 0 0 0 146 8.666666666666666 6 2 3 0
77 696.52 3640.799999999991 2 0 0 0 0 0 148 8.666666666666666 6 2 3 0
78 696.52 3689.999999999991 2 0 0 0 0 0 150 8.666666666666666 6 2 3 0
79 696.52 3739.1999999999907 2 0 0 0 0 0 152 8.666666666666666 6 2 3 0
80 696.52 3788.3999999999905 2 0 0 0 0 0 154 8.666666666666666 6 2 3 0
81 696.52 3837.5999999999904 2 0 0 0 0 0 156 8.666666666666666 6 2 3 0
82 696.52 3886.79999999999 2 0 0 0 0 0 158 8.666666666666666 6 2 3 0
83 696.52 3935.99999999999 2 0 0 0 0 0 160 8.666666666666666 6 2 3 0
84 696.52 3985.19999999999 2 0 0 0 0 0 162 8.666666666666666 6 2 3 0
85 696.52 4034.3999999999896 2 0 0 0 0 0 164 8.666666666666666 6 2 3 0
86 696.52 4083.5999999999894 2 0 0 0 0 0 166 8.666666666666666 6 2 3 0
87 696.52 4132.79999999999 2 0 0 0 0 0 168 8.666666666666666 6 2 3 0
88 696.52 4181.999999999991 2 0 0 0 0 0 170 8.666666666666666 6 2 3 0
89 696.52 4231.199999999992 2 0 0 0 0 0 172 8.666666666666666 6 2 3 0
90 696.52 4280.399999999992 2 0 0 0 0 0 174 8.666666666666666 6 2 3 0
91 696.52 4329.599999999993 2 0 0 0 0 0 176 8.666666666666666 6 2 3 0
92 696.52 4378.799999999994 2 0 0 0 0 0 178 8.666666666666666 6 2 3 0
93 696.52 4427.9999999999945 2 0 0 0 0 0 180 8.666666666666666 6 2 3 0
94 696.52 4477.199999999995 2 0 0 0 0 0 182 8.666666666666666 6 2 3 0
95 696.52 4526.399999999996 2 0 0 0 0 0 184 8.666666666666666 6 2 3 0
96 696.52 4575.599999999997 2 0 0 0 0 0 186 8.666666666666666 6 2 3 0
97 696.52 4624.799999999997 2 0 0 0 0 0 188 8.666666666666666 6 2 3 0
98 696.52 4673.999999999998 2 0 0 0 0 0 190 8.666666666666666 6 2 3 0
99 696.52 4723.199999999999 2 0 0 0 0 0 192 8.666666666666666 6 2 3 0
