cycle chargeConsumedActive chargeConsumedIdle packetsgenerated PacketsReachedTheDAGROOT droppedNoRoute droppedNoTxCells droppedQueueFull droppedMacRetries idleListening AverageQueueDelay numTx numRxCells numTxCells aveHops
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
2 0 0 0 0 0 0 0 0 0 0 0 0 1 0
3 64.82 0 1 0 0 0 0 0 0 29.0 1 0 1 0
4 64.82 0 1 0 0 0 0 0 0 29.0 1 0 1 0
5 64.82 0 1 0 0 0 0 0 0 29.0 1 0 1 0
6 64.82 0 1 0 0 0 0 0 0 29.0 1 0 1 0
7 64.82 0 1 0 0 0 0 0 0 29.0 1 0 1 0
8 64.82 0 1 0 0 0 0 0 0 29.0 1 0 1 0
9 64.82 0 1 0 0 0 0 0 0 29.0 1 0 1 0
10 64.82 0 1 0 0 0 0 0 0 29.0 1 0 1 0
11 64.82 0 1 0 0 0 0 0 0 29.0 1 0 1 0
12 64.82 0 1 0 0 0 0 0 0 29.0 1 0 1 0
13 64.82 0 1 0 0 0 0 0 0 29.0 1 0 1 0
14 64.82 0 1 0 0 0 0 0 0 29.0 1 0 1 0
15 64.82 0 1 0 0 0 0 0 0 29.0 1 0 1 0
16 64.82 0 1 0 0 0 0 0 0 29.0 1 0 1 0
17 64.82 0 1 0 0 0 0 0 0 29.0 1 0 1 0
18 64.82 0 1 0 0 0 0 0 0 29.0 1 0 1 0
