cycle chargeConsumedActive chargeConsumedIdle packetsgenerated PacketsReachedTheDAGROOT droppedNoRoute droppedNoTxCells droppedQueueFull droppedMacRetries idleListening AverageQueueDelay numTx numRxCells numTxCells aveHops
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 2 0 0
2 0 49.2 0 0 0 0 0 0 2 0 0 2 0 0
3 76.9 73.80000000000001 0 0 0 1 0 0 3 0 0 2 0 0
4 230.70000000000002 73.80000000000001 0 0 0 3 0 0 3 0 0 2 0 0
5 384.5 73.80000000000001 0 0 0 5 0 0 3 0 0 2 0 0
6 538.3 73.80000000000001 0 0 0 7 0 0 3 0 0 2 0 0
7 692.0999999999999 73.80000000000001 0 0 0 9 0 0 3 0 0 2 0 0
8 845.8999999999999 73.80000000000001 0 0 0 11 0 0 3 0 0 2 0 0
9 999.6999999999998 73.80000000000001 0 0 0 13 0 0 3 0 0 2 0 0
10 1153.5 73.80000000000001 0 0 0 15 0 0 3 0 0 2 0 0
11 1307.3000000000002 73.80000000000001 0 0 0 17 0 0 3 0 0 2 0 0
12 1461.1000000000004 73.80000000000001 0 0 0 19 0 0 3 0 0 2 0 0
13 1614.9000000000005 73.80000000000001 0 0 0 21 0 0 3 0 0 2 0 0
14 1768.7000000000007 73.80000000000001 0 0 0 23 0 0 3 0 0 2 0 0
15 1922.500000000001 73.80000000000001 0 0 0 25 0 0 3 0 0 2 0 0
16 2076.300000000001 73.80000000000001 0 0 0 27 0 0 3 0 0 2 0 0
17 2230.1000000000013 73.80000000000001 0 0 0 29 0 0 3 0 0 2 0 0
18 2383.9000000000015 73.80000000000001 0 0 0 31 0 0 3 0 0 2 0 0
