cycle chargeConsumedActive chargeConsumedIdle packetsgenerated PacketsReachedTheDAGROOT droppedNoRoute droppedNoTxCells droppedQueueFull droppedMacRetries idleListening AverageQueueDelay numTx numRxCells numTxCells aveHops
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 1 0 0 0 0 0 0 0 0 3 4 0
2 425.15999999999997 0 1 0 0 0 0 0 0 17.333333333333332 3 3 4 0
3 489.97999999999996 73.80000000000001 1 0 0 0 0 0 3 37.25 4 3 4 0
4 489.97999999999996 147.6 1 0 0 0 0 0 6 37.25 4 3 4 0
5 489.97999999999996 221.39999999999998 2 0 0 0 0 0 9 37.25 4 3 4 0
6 915.1399999999999 221.39999999999998 2 0 0 0 0 0 9 29.285714285714285 7 3 4 0
7 979.9599999999998 295.2 2 0 0 0 0 0 12 37.75 8 3 4 0
8 979.9599999999998 369.00000000000006 2 0 0 0 0 0 15 37.75 8 3 4 0
9 979.9599999999998 442.8000000000001 2 0 0 0 0 0 18 37.75 8 3 4 0
10 979.9599999999998 516.6000000000001 2 0 0 0 0 0 21 37.75 8 3 4 0
11 979.9599999999998 590.4000000000002 2 0 0 0 0 0 24 37.75 8 3 4 0
12 979.9599999999998 664.2000000000003 2 0 0 0 0 0 27 37.75 8 3 4 0
13 979.9599999999998 738.0000000000003 2 0 0 0 0 0 30 37.75 8 3 4 0
14 979.9599999999998 811.8000000000004 2 0 0 0 0 0 33 37.75 8 3 4 0
15 979.9599999999998 885.6000000000005 2 0 0 0 0 0 36 37.75 8 3 4 0
16 979.9599999999998 959.4000000000005 2 0 0 0 0 0 39 37.75 8 3 4 0
17 979.9599999999998 1033.2000000000005 2 0 0 0 0 0 42 37.75 8 3 4 0
18 979.9599999999998 1107.0000000000002 2 0 0 0 0 0 45 37.75 8 3 4 0
19 979.9599999999998 1180.8 2 0 0 0 0 0 48 37.75 8 3 4 0
20 979.9599999999998 1254.5999999999997 2 0 0 0 0 0 51 37.75 8 3 4 0
21 979.9599999999998 1328.3999999999994 2 0 0 0 0 0 54 37.75 8 3 4 0
22 979.9599999999998 1402.1999999999991 2 0 0 0 0 0 57 37.75 8 3 4 0
23 979.9599999999998 1475.9999999999989 2 0 0 0 0 0 60 37.75 8 3 4 0
24 979.9599999999998 1549.7999999999986 2 0 0 0 0 0 63 37.75 8 3 4 0
25 979.9599999999998 1623.5999999999983 2 0 0 0 0 0 66 37.75 8 3 4 0
26 979.9599999999998 1697.399999999998 2 0 0 0 0 0 69 37.75 8 3 4 0
27 979.9599999999998 1771.1999999999978 2 0 0 0 0 0 72 37.75 8 3 4 0
28 979.9599999999998 1844.9999999999975 2 0 0 0 0 0 75 37.75 8 3 4 0
29 979.9599999999998 1918.7999999999972 2 0 0 0 0 0 78 37.75 8 3 4 0
30 979.9599999999998 1992.599999999997 2 0 0 0 0 0 81 37.75 8 3 4 0
31 979.9599999999998 2066.399999999997 2 0 0 0 0 0 84 37.75 8 3 4 0
32 979.9599999999998 2140.1999999999966 2 0 0 0 0 0 87 37.75 8 3 4 0
33 979.9599999999998 2213.9999999999964 2 0 0 0 0 0 90 37.75 8 3 4 0
34 979.9599999999998 2287.799999999996 2 0 0 0 0 0 93 37.75 8 3 4 0
35 979.9599999999998 2361.599999999996 2 0 0 0 0 0 96 37.75 8 3 4 0
36 979.9599999999998 2435.3999999999955 2 0 0 0 0 0 99 37.75 8 3 4 0
37 979.9599999999998 2509.1999999999953 2 0 0 0 0 0 102 37.75 8 3 4 0
38 979.9599999999998 2582.999999999995 2 0 0 0 0 0 105 37.75 8 3 4 0
39 979.9599999999998 2656.7999999999947 2 0 0 0 0 0 108 37.75 8 3 4 0
40 979.9599999999998 2730.5999999999945 2 0 0 0 0 0 111 37.75 8 3 4 0
41 979.9599999999998 2804.399999999994 2 0 0 0 0 0 114 37.75 8 3 4 0
42 979.9599999999998 2878.199999999994 2 0 0 0 0 0 117 37.75 8 3 4 0
43 979.9599999999998 2951.9999999999936 2 0 0 0 0 0 120 37.75 8 3 4 0
44 979.9599999999998 3025.7999999999934 2 0 0 0 0 0 123 37.75 8 3 4 0
45 979.9599999999998 3099.599999999993 2 0 0 0 0 0 126 37.75 8 3 4 0
46 979.9599999999998 3173.399999999993 2 0 0 0 0 0 129 37.75 8 3 4 0
47 979.9599999999998 3247.1999999999925 2 0 0 0 0 0 132 37.75 8 3 4 0
48 979.9599999999998 3320.9999999999923 2 0 0 0 0 0 135 37.75 8 3 4 0
49 979.9599999999998 3394.799999999992 2 0 0 0 0 0 138 37.75 8 3 4 0
50 979.9599999999998 3468.5999999999917 2 0 0 0 0 0 141 37.75 8 3 4 0
51 979.9599999999998 3542.3999999999915 2 0 0 0 0 0 144 37.75 8 3 4 0
52 979.9599999999998 3616.199999999991 2 0 0 0 0 0 147 37.75 8 3 4 0
53 979.9599999999998 3689.999999999991 2 0 0 0 0 0 150 37.75 8 3 4 0
54 979.9599999999998 3763.7999999999906 2 0 0 0 0 0 153 37.75 8 3 4 0
55 979.9599999999998 3837.5999999999904 2 0 0 0 0 0 156 37.75 8 3 4 0
56 979.9599999999998 3911.39999999999 2 0 0 0 0 0 159 37.75 8 3 4 0
57 979.9599999999998 3985.19999999999 2 0 0 0 0 0 162 37.75 8 3 4 0
58 979.9599999999998 4058.9999999999895 2 0 0 0 0 0 165 37.75 8 3 4 0
59 979.9599999999998 4132.79999999999 2 0 0 0 0 0 168 37.75 8 3 4 0
60 979.9599999999998 4206.599999999991 2 0 0 0 0 0 171 37.75 8 3 4 0
61 979.9599999999998 4280.399999999992 2 0 0 0 0 0 174 37.75 8 3 4 0
62 979.9599999999998 4354.199999999993 2 0 0 0 0 0 177 37.75 8 3 4 0
63 979.9599999999998 4427.9999999999945 2 0 0 0 0 0 180 37.75 8 3 4 0
64 979.9599999999998 4501.799999999996 2 0 0 0 0 0 183 37.75 8 3 4 0
65 979.9599999999998 4575.599999999997 2 0 0 0 0 0 186 37.75 8 3 4 0
66 979.9599999999998 4649.399999999998 2 0 0 0 0 0 189 37.75 8 3 4 0
67 979.9599999999998 4723.199999999999 2 0 0 0 0 0 192 37.75 8 3 4 0
68 979.9599999999998 4797.0 2 0 0 0 0 0 195 37.75 8 3 4 0
69 979.9599999999998 4870.800000000001 2 0 0 0 0 0 198 37.75 8 3 4 0
70 979.9599999999998 4944.600000000002 2 0 0 0 0 0 201 37.75 8 3 4 0
71 979.9599999999998 5018.400000000003 2 0 0 0 0 0 204 37.75 8 3 4 0
72 979.9599999999998 5092.200000000004 2 0 0 0 0 0 207 37.75 8 3 4 0
73 979.9599999999998 5166.0000000000055 2 0 0 0 0 0 210 37.75 8 3 4 0
74 979.9599999999998 5239.800000000007 2 0 0 0 0 0 213 37.75 8 3 4 0
75 979.9599999999998 5313.600000000008 2 0 0 0 0 0 216 37.75 8 3 4 0
76 979.9599999999998 5387.400000000009 2 0 0 0 0 0 219 37.75 8 3 4 0
77 979.9599999999998 5461.20000000001 2 0 0 0 0 0 222 37.75 8 3 4 0
78 979.9599999999998 5535.000000000011 2 0 0 0 0 0 225 37.75 8 3 4 0
79 979.9599999999998 5608.800000000012 2 0 0 0 0 0 228 37.75 8 3 4 0
80 979.9599999999998 5682.600000000013 2 0 0 0 0 0 231 37.75 8 3 4 0
81 979.9599999999998 5756.400000000014 2 0 0 0 0 0 234 37.75 8 3 4 0
82 979.9599999999998 5830.200000000015 2 0 0 0 0 0 237 37.75 8 3 4 0
83 979.9599999999998 5904.000000000016 2 0 0 0 0 0 240 37.75 8 3 4 0
84 979.9599999999998 5977.8000000000175 2 0 0 0 0 0 243 37.75 8 3 4 0
85 979.9599999999998 6051.600000000019 2 0 0 0 0 0 246 37.75 8 3 4 0
86 979.9599999999998 6125.40000000002 2 0 0 0 0 0 249 37.75 8 3 4 0
87 979.9599999999998 6199.200000000021 2 0 0 0 0 0 252 37.75 8 3 4 0
88 979.9599999999998 6273.000000000022 2 0 0 0 0 0 255 37.75 8 3 4 0
89 979.9599999999998 6346.800000000023 2 0 0 0 0 0 258 37.75 8 3 4 0
90 979.9599999999998 6420.600000000024 2 0 0 0 0 0 261 37.75 8 3 4 0
91 979.9599999999998 6494.400000000025 2 0 0 0 0 0 264 37.75 8 3 4 0
92 979.9599999999998 6568.200000000026 2 0 0 0 0 0 267 37.75 8 3 4 0
93 979.9599999999998 6642.000000000027 2 0 0 0 0 0 270 37.75 8 3 4 0
94 979.9599999999998 6715.800000000028 2 0 0 0 0 0 273 37.75 8 3 4 0
95 979.9599999999998 6789.6000000000295 2 0 0 0 0 0 276 37.75 8 3 4 0
96 979.9599999999998 6863.400000000031 2 0 0 0 0 0 279 37.75 8 3 4 0
97 979.9599999999998 6937.200000000032 2 0 0 0 0 0 282 37.75 8 3 4 0
98 979.9599999999998 7011.000000000033 2 0 0 0 0 0 285 37.75 8 3 4 0
99 979.9599999999998 7084.800000000034 2 0 0 0 0 0 288 37.75 8 3 4 0
