cycle chargeConsumedActive chargeConsumedIdle packetsgenerated PacketsReachedTheDAGROOT droppedNoRoute droppedNoTxCells droppedQueueFull droppedMacRetries idleListening AverageQueueDelay numTx numRxCells numTxCells aveHops
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 1 0 0 0 0 0 0 0 0 1 2 0
2 206.54 0 1 0 0 0 0 0 0 26.5 2 1 2 0
3 206.54 24.6 1 0 0 0 0 0 1 26.5 2 1 2 0
4 206.54 49.2 1 0 0 0 0 0 2 26.5 2 1 2 0
5 206.54 73.80000000000001 2 0 0 0 0 0 3 26.5 2 1 2 0
6 413.08 73.80000000000001 2 0 0 0 0 0 3 27.5 4 1 2 0
7 413.08 98.4 2 0 0 0 0 0 4 27.5 4 1 2 0
8 413.08 123.0 2 0 0 0 0 0 5 27.5 4 1 2 0
9 413.08 147.6 2 0 0 0 0 0 6 27.5 4 1 2 0
10 413.08 172.2 2 0 0 0 0 0 7 27.5 4 1 2 0
11 413.08 196.79999999999998 2 0 0 0 0 0 8 27.5 4 1 2 0
12 413.08 221.39999999999998 2 0 0 0 0 0 9 27.5 4 1 2 0
13 413.08 245.99999999999997 2 0 0 0 0 0 10 27.5 4 1 2 0
14 413.08 270.59999999999997 2 0 0 0 0 0 11 27.5 4 1 2 0
15 413.08 295.2 2 0 0 0 0 0 12 27.5 4 1 2 0
16 413.08 319.8 2 0 0 0 0 0 13 27.5 4 1 2 0
17 413.08 344.40000000000003 2 0 0 0 0 0 14 27.5 4 1 2 0
18 413.08 369.00000000000006 2 0 0 0 0 0 15 27.5 4 1 2 0
19 413.08 393.6000000000001 2 0 0 0 0 0 16 27.5 4 1 2 0
20 413.08 418.2000000000001 2 0 0 0 0 0 17 27.5 4 1 2 0
21 413.08 442.8000000000001 2 0 0 0 0 0 18 27.5 4 1 2 0
22 413.08 467.40000000000015 2 0 0 0 0 0 19 27.5 4 1 2 0
23 413.08 492.00000000000017 2 0 0 0 0 0 20 27.5 4 1 2 0
24 413.08 516.6000000000001 2 0 0 0 0 0 21 27.5 4 1 2 0
25 413.08 541.2000000000002 2 0 0 0 0 0 22 27.5 4 1 2 0
26 413.08 565.8000000000002 2 0 0 0 0 0 23 27.5 4 1 2 0
27 413.08 590.4000000000002 2 0 0 0 0 0 24 27.5 4 1 2 0
28 413.08 615.0000000000002 2 0 0 0 0 0 25 27.5 4 1 2 0
29 413.08 639.6000000000003 2 0 0 0 0 0 26 27.5 4 1 2 0
30 413.08 664.2000000000003 2 0 0 0 0 0 27 27.5 4 1 2 0
31 413.08 688.8000000000003 2 0 0 0 0 0 28 27.5 4 1 2 0
32 413.08 713.4000000000003 2 0 0 0 0 0 29 27.5 4 1 2 0
33 413.08 738.0000000000003 2 0 0 0 0 0 30 27.5 4 1 2 0
34 413.08 762.6000000000004 2 0 0 0 0 0 31 27.5 4 1 2 0
35 413.08 787.2000000000004 2 0 0 0 0 0 32 27.5 4 1 2 0
36 413.08 811.8000000000004 2 0 0 0 0 0 33 27.5 4 1 2 0
37 413.08 836.4000000000004 2 0 0 0 0 0 34 27.5 4 1 2 0
38 413.08 861.0000000000005 2 0 0 0 0 0 35 27.5 4 1 2 0
39 413.08 885.6000000000005 2 0 0 0 0 0 36 27.5 4 1 2 0
40 413.08 910.2000000000005 2 0 0 0 0 0 37 27.5 4 1 2 0
41 413.08 934.8000000000005 2 0 0 0 0 0 38 27.5 4 1 2 0
42 413.08 959.4000000000005 2 0 0 0 0 0 39 27.5 4 1 2 0
43 413.08 984.0000000000006 2 0 0 0 0 0 40 27.5 4 1 2 0
44 413.08 1008.6000000000006 2 0 0 0 0 0 41 27.5 4 1 2 0
