## dioPeriod = 1.0
## startTime = 1510979550.85
## numMotes = 16
## otfHousekeepingPeriod = 5.0
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## slotDuration = 0.9
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## numRuns = 2
## otfThreshold = 8
## sixtopNoRemoveWorstCell = 0
## burstTimestamp = 20
## slotLength = 3000
## simDataDir = simData
## numChans = 16
## minRssi = -97
## noInterference = 0
## numPacketsBurst = 5
## gui = True
## pkPeriod = 1.0
## combinationKeys = ['numMotes', 'otfThreshold']
## sixtopHousekeepingPeriod = 1.0


# appGenerated appReachesDagroot appRelayed aveHops aveLatency aveQueueDelay awake chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs idle numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum scheduleCollisions sleep topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txQueueFill
          1378                18          6   1.000     45.222       142.400   582      20669.640           0     0                    1181                29              0                0             1223                    0  186         28   192         28     38         0                  0                15                 43           16      672      128      0                  0  1212                   0                     0                   0         150
          2893                36          6   1.000     85.194       415.408  1056      44070.520           0     1                    2640                67              0                0             2737                    0  330         28   411         28     58         0                  0                15                 83           32     1344      256      0                  0  1966                   0                     0                   0         150
          4408                57          6   1.000    111.018       550.869  1421      67449.460           0     2                    4098               103              0                0             4250                    0  437         28   628         28     80         0                  0                15                123           44     2016      384      0                  0  2587                   0                     0                   0         150
          5923                76          6   1.000    122.092       598.746  2055      90440.360           0     3                    5552               145              0                0             5757                    0  636         28   843         28    102         0                  0                15                163           54     2688      512      0                  0  3623                   0                     0                   0         150
          7438                99          6   1.000    136.394       737.548  2567     114207.340           0     4                    7009               180              0                0             7271                    0  777         28  1062         28    124         0                  0                15                198           59     3276      624      0                  0  4453                   0                     0                   0         150
          8953               122          6   1.000    142.541       776.110  3095     137922.020           0     5                    8458               223              0                0             8776                    0  930         28  1281         28    145         0                  0                15                238           65     3948      752      0                  0  5415                   0                     0                   0         150
         10468               142          6   1.000    142.331       777.409  3561     160987.160           0     6                    9918               258              0                0            10286                    0 1078         28  1498         28    167         0                  0                15                278           70     4620      880      0                  0  6286                   0                     0                   0         150
         11983               162          6   1.000    143.056       780.899  4080     184194.020           0     7                   11371               300              0                0            11790                    0 1248         28  1716         28    186         0                  0                15                318           75     5292     1008      0                  0  7055                   0                     0                   0         150
         13498               183          6   1.000    145.820       814.265  4502     207132.620           0     8                   12831               334              0                0            13300                    0 1375         28  1931         28    208         0                  0                15                353           78     5880     1120      0                  0  7837                   0                     0                   0         150
         15013               206          6   1.000    150.932       858.307  5005     230727.520           0     9                   14282               375              0                0            14803                    0 1521         28  2151         28    228         0                  0                15                393           82     6552     1248      0                  0  8714                   0                     0                   0         150
