## dioPeriod = 1.0
## burstTimestamp = 20
## minRssi = -97
## numMotes = 12
## otfHousekeepingPeriod = 5.0
## sixtopNoRemoveWorstCell = 0
## simDataDir = simData
## numChans = 16
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## pkPeriod = 1.0
## sixtopHousekeepingPeriod = 1.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## startTime = 1510970665.48
## slotDuration = 0.9
## numRuns = 2
## combinationKeys = ['numMotes', 'otfThreshold']
## gui = True
## numPacketsBurst = 5
## otfThreshold = 1
## noInterference = 0
## slotLength = 3000


# appGenerated appReachesDagroot appRelayed aveHops aveLatency aveQueueDelay awake chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs idle numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum scheduleCollisions sleep topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txQueueFill
           656                41         10   1.195     44.171       278.000    95       9310.640           0     0                     505                 0              0                0              517                    0   35          6    42          6    124         6                  0                11                 73           63      361       94      1                  0   222                   0                     0                   0         110
          1262                83         10   1.120     84.614       521.751   207      15620.560           0     1                    1069                 0              0                0             1081                    0   78          6    88          6    267         6                  0                11                145          143      729      190      1                  0   371                   0                     0                   0         110
          1868               128         10   1.078    103.312       635.034   331      22176.800           0     2                    1630                 0              0                0             1642                    0  129          6   135          6    405         6                  0                11                217          223     1097      286      1                  0   544                   0                     0                   0         110
          2474               172         10   1.058    111.576       685.297   492      28501.900           0     3                    2192                 0              0                0             2204                    0  187          6   180          6    549         6                  0                11                289          303     1465      382      1                  0   779                   0                     0                   0         110
          3080               218         10   1.046    116.239       714.060   622      35199.860           0     4                    2752                 0              0                0             2764                    0  232          6   228          6    690         6                  0                11                352          352     1787      466      1                  0   939                   0                     0                   0         110
          3686               263         10   1.038    119.483       734.376   749      41756.100           0     5                    3313                 0              0                0             3325                    0  280          6   275          6    835         6                  0                11                424          397     2155      562      1                  0  1129                   0                     0                   0         110
          4292               306         10   1.033    121.938       750.007   902      48207.740           0     6                    3876                 0              0                0             3888                    0  335          6   322          6    973         6                  0                11                496          444     2523      658      1                  0  1310                   0                     0                   0         110
          4898               346         10   1.029    124.223       764.803  1037      54323.640           0     7                    4442                 0              0                0             4454                    0  386          6   367          6   1115         6                  0                11                568          488     2891      754      1                  0  1496                   0                     0                   0         110
          5504               391         10   1.026    126.317       778.671  1169      60879.880           0     8                    5003                 0              0                0             5015                    0  437          6   414          6   1258         6                  0                11                631          522     3213      838      1                  0  1689                   0                     0                   0         110
          6110               435         10   1.023    127.467       786.131  1302      67383.820           0     9                    5565                 0              0                0             5577                    0  495          6   461          6   1402         6                  0                11                703          561     3581      934      1                  0  1873                   0                     0                   0         110
          6716               481         10   1.021    128.466       791.966  1435      73992.360           0    10                    6125                 0              0                0             6137                    0  544          6   508          6   1543         6                  0                11                775          596     3949     1030      1                  0  2066                   0                     0                   0         110
          7322               526         10   1.019    128.968       794.627  1562      80459.180           0    11                    6686                 0              0                0             6698                    0  593          6   554          6   1686         6                  0                11                847          631     4317     1126      1                  0  2276                   0                     0                   0         110
          7928               569         10   1.018    129.274       797.084  1688      86821.400           0    12                    7249                 0              0                0             7261                    0  636          6   600          6   1831         6                  0                11                910          659     4639     1210      1                  0  2452                   0                     0                   0         110
          8534               617         10   1.016    129.794       799.881  1830      93623.960           0    13                    7807                 0              0                0             7819                    0  691          6   648          6   1975         6                  0                11                982          690     5007     1306      1                  0  2648                   0                     0                   0         110
          9140               660         10   1.015    129.965       800.768  1868      99986.180           0    14                    8370                 0              0                0             8382                    0  705          6   694          6   2116         6                  0                11               1054          722     5375     1402      1                  0  2691                   0                     0                   0         110
          9746               704         10   1.014    130.466       803.877  1996     106490.120           0    15                    8932                 0              0                0             8944                    0  754          6   741          6   2258         6                  0                11               1126          757     5743     1498      1                  0  2855                   0                     0                   0         110
         10352               747         10   1.013    130.961       806.768  2132     112762.920           0    16                    9495                 0              0                0             9507                    0  802          6   786          6   2399         6                  0                11               1198          789     6111     1594      1                  0  3038                   0                     0                   0         110
         10958               793         10   1.013    131.348       808.954  2260     119460.880           0    17                   10055                 0              0                0            10067                    0  840          6   834          6   2541         6                  0                11               1261          816     6433     1678      1                  0  3216                   0                     0                   0         110
         11564               837         10   1.012    131.697       811.151  2402     125964.820           0    18                   10617                 0              0                0            10629                    0  895          6   881          6   2683         6                  0                11               1333          847     6801     1774      1                  0  3396                   0                     0                   0         110
         12170               882         10   1.011    131.890       812.384  2539     132521.060           0    19                   11178                 0              0                0            11190                    0  942          6   928          6   2823         6                  0                11               1405          877     7169     1870      1                  0  3566                   0                     0                   0         110
         12776               925         10   1.011    131.957       812.725  2702     138793.860           0    20                   11741                 0              0                0            11753                    0  995          6   973          6   2961         6                  0                11               1477          905     7537     1966      1                  0  3780                   0                     0                   0         110
         13382               970         10   1.010    132.134       813.925  2837     145350.100           0    21                   12302                 0              0                0            12314                    0 1039          6  1020          6   3103         6                  0                11               1540          933     7859     2050      1                  0  3978                   0                     0                   0         110
         13988              1013         10   1.010    132.531       816.424  2992     151801.740           0    22                   12865                 0              0                0            12877                    0 1086          6  1067          6   3244         6                  0                11               1612          965     8227     2146      1                  0  4150                   0                     0                   0         110
         14594              1058         10   1.009    132.792       818.048  3135     158357.980           0    23                   13426                 0              0                0            13438                    0 1140          6  1114          6   3385         6                  0                11               1684          995     8595     2242      1                  0  4341                   0                     0                   0         110
         15200              1101         10   1.009    132.884       818.580  3268     164720.200           0    24                   13989                 0              0                0            14001                    0 1194          6  1160          6   3524         6                  0                11               1756         1020     8963     2338      1                  0  4530                   0                     0                   0         110
         15806              1141         10   1.009    133.238       820.922  3395     170925.520           0    25                   14555                 0              0                0            14567                    0 1242          6  1206          6   3662         6                  0                11               1819         1050     9285     2422      1                  0  4712                   0                     0                   0         110
         16412              1186         10   1.008    133.631       823.160  3466     177571.180           0    26                   15116                 0              0                0            15128                    0 1261          6  1254          6   3804         6                  0                11               1891         1076     9653     2518      1                  0  4798                   0                     0                   0         110
         17018              1226         10   1.008    133.788       824.169  3612     183776.500           0    27                   15682                 0              0                0            15694                    0 1311          6  1300          6   3942         6                  0                11               1963         1108    10021     2614      1                  0  4984                   0                     0                   0         110
         17624              1272         10   1.008    134.172       826.528  3758     190385.040           0    28                   16242                 0              0                0            16254                    0 1354          6  1347          6   4085         6                  0                11               2035         1133    10389     2710      1                  0  5184                   0                     0                   0         110
         18230              1316         10   1.008    134.299       827.071  3891     196710.140           0    29                   16804                 0              0                0            16816                    0 1396          6  1392          6   4227         6                  0                11               2107         1156    10757     2806      1                  0  5391                   0                     0                   0         110
         18836              1363         10   1.007    134.247       826.532  4027     203460.400           0    30                   17363                 0              0                0            17375                    0 1446          6  1440          6   4370         6                  0                11               2170         1175    11079     2890      1                  0  5580                   0                     0                   0         110
         19442              1404         10   1.007    134.289       827.190  4167     209807.440           0    31                   17928                 0              0                0            17940                    0 1494          6  1487          6   4509         6                  0                11               2242         1200    11447     2986      1                  0  5782                   0                     0                   0         110
         20048              1447         10   1.007    134.548       829.138  4304     216259.080           0    32                   18491                 0              0                0            18503                    0 1554          6  1534          6   4648         6                  0                11               2314         1229    11815     3082      1                  0  5990                   0                     0                   0         110
         20654              1484         10   1.007    134.864       831.522  4439     222218.080           0    33                   19060                 0              0                0            19072                    0 1612          6  1579          6   4784         6                  0                11               2386         1260    12183     3178      1                  0  6174                   0                     0                   0         110
         21260              1529         10   1.007    135.375       834.830  4591     228774.320           0    34                   19621                 0              0                0            19633                    0 1661          6  1626          6   4928         6                  0                11               2449         1285    12505     3262      1                  0  6382                   0                     0                   0         110
         21866              1566         10   1.006    135.605       836.643  4741     234912.160           0    35                   20190                 0              0                0            20202                    0 1717          6  1673          6   5063         6                  0                11               2521         1315    12873     3358      1                  0  6566                   0                     0                   0         110
         22472              1610         10   1.006    135.993       839.308  4880     241416.100           0    36                   20752                 0              0                0            20764                    0 1768          6  1720          6   5202         6                  0                11               2593         1336    13241     3454      1                  0  6744                   0                     0                   0         110
         23078              1653         10   1.006    136.120       840.235  5010     247778.320           0    37                   21315                 0              0                0            21327                    0 1819          6  1766          6   5343         6                  0                11               2665         1361    13609     3550      1                  0  6919                   0                     0                   0         110
         23684              1696         10   1.006    136.249       841.193  5104     254140.540           0    38                   21878                 0              0                0            21890                    0 1848          6  1812          6   5483         6                  0                11               2728         1385    13931     3634      1                  0  7039                   0                     0                   0         110
         24290              1740         10   1.006    136.352       841.915  5257     260733.900           0    39                   22440                 0              0                0            22452                    0 1907          6  1860          6   5626         6                  0                11               2800         1411    14299     3730      1                  0  7228                   0                     0                   0         110
         24896              1784         10   1.006    136.487       842.514  5391     267148.420           0    40                   23002                 0              0                0            23014                    0 1963          6  1906          6   5768         6                  0                11               2872         1441    14667     3826      1                  0  7420                   0                     0                   0         110
         25502              1826         10   1.005    136.551       842.910  5523     273547.760           0    41                   23566                 0              0                0            23578                    0 2014          6  1953          6   5908         6                  0                11               2944         1464    15035     3922      1                  0  7602                   0                     0                   0         110
         26108              1864         10   1.005    136.760       844.274  5666     279559.060           0    42                   24134                 0              0                0            24146                    0 2069          6  1998          6   6042         6                  0                11               3016         1496    15403     4018      1                  0  7811                   0                     0                   0         110
