## dioPeriod = 1.0
## startTime = 1513661710.05
## numMotes = 100
## otfHousekeepingPeriod = 5.0
## _init = True
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## slotDuration = 0.1
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## numRuns = 1
## otfThreshold = 4
## sixtopNoRemoveWorstCell = 0
## burstTimestamp = 20
## slotLength = 3000
## simDataDir = simData
## numChans = 16
## minRssi = -97
## noInterference = 0
## _instance = None
## numPacketsBurst = 5
## gui = True
## pkPeriod = 1.0
## combinationKeys = ['numMotes', 'otfThreshold']
## sixtopHousekeepingPeriod = 1.0


 #position of mote at runNum=0 mote id: 0 mote x,y coordinate: (1.00000,1.00000) mote-rank: None 
 mote id: 71 mote x,y coordinate: (1.86351,1.48905) mote-rank: 25404 
 mote id: 72 mote x,y coordinate: (0.41702,0.04154) mote-rank: 28718 
 mote id: 73 mote x,y coordinate: (1.11440,0.43245) mote-rank: 14821 
 mote id: 74 mote x,y coordinate: (0.40689,0.00317) mote-rank: 29694 
 mote id: 75 mote x,y coordinate: (1.10170,0.09290) mote-rank: 23367 
 mote id: 76 mote x,y coordinate: (1.66732,0.25884) mote-rank: 25531 
 mote id: 77 mote x,y coordinate: (1.93597,0.85034) mote-rank: 24265 
 mote id: 78 mote x,y coordinate: (1.10285,0.56174) mote-rank: 11524 
 mote id: 79 mote x,y coordinate: (1.69837,0.14696) mote-rank: 28222 
 mote id: 80 mote x,y coordinate: (1.46284,0.31020) mote-rank: 21265 
 mote id: 81 mote x,y coordinate: (1.47651,0.43220) mote-rank: 18976 
 mote id: 82 mote x,y coordinate: (0.48256,1.67116) mote-rank: 21695 
 mote id: 83 mote x,y coordinate: (1.35321,0.37917) mote-rank: 18285 
 mote id: 84 mote x,y coordinate: (1.98631,1.63998) mote-rank: 30099 
 mote id: 85 mote x,y coordinate: (0.13837,0.21400) mote-rank: 29856 
 mote id: 86 mote x,y coordinate: (1.48276,0.49726) mote-rank: 17843 
 mote id: 87 mote x,y coordinate: (1.04992,0.34515) mote-rank: 16812 
 mote id: 88 mote x,y coordinate: (1.43692,1.32773) mote-rank: 13981 
 mote id: 89 mote x,y coordinate: (1.34577,1.19866) mote-rank: 10208 
 mote id: 90 mote x,y coordinate: (1.85720,0.18775) mote-rank: 30231 
 mote id: 91 mote x,y coordinate: (1.77754,1.16245) mote-rank: 20334 
 mote id: 92 mote x,y coordinate: (0.17932,1.87230) mote-rank: 30660 
 mote id: 93 mote x,y coordinate: (1.20996,0.18817) mote-rank: 21466 
