cycle chargeConsumedActive chargeConsumedIdle packetsgenerated PacketsReachedTheDAGROOT droppedNoRoute droppedNoTxCells droppedQueueFull droppedMacRetries idleListening AverageQueueDelay numTx numRxCells numTxCells aveHops
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 1 0 0 0 0 0 0 0 0 0 2 0
2 64.82 0 1 0 0 0 0 0 0 11.0 1 0 2 0
3 64.82 0 1 0 0 0 0 0 0 11.0 1 0 2 0
4 64.82 0 1 0 0 0 0 0 0 11.0 1 0 2 0
5 64.82 0 2 0 0 0 0 0 0 11.0 1 0 2 0
6 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
7 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
8 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
9 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
10 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
11 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
12 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
13 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
14 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
15 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
16 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
17 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
18 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
19 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
20 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
21 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
22 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
23 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
24 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
25 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
26 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
27 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
28 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
29 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
30 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
31 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
32 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
33 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
34 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
35 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
36 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
37 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
38 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
39 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
40 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
41 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
42 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
43 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
44 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
45 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
46 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
47 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
48 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
49 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
50 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
51 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
52 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
53 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
54 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
55 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
56 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
57 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
58 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
59 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
60 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
61 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
62 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
63 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
64 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
65 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
66 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
67 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
68 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
69 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
70 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
71 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
72 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
73 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
74 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
75 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
76 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
77 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
78 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
79 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
80 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
81 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
82 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
83 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
84 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
85 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
86 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
87 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
88 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
89 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
90 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
91 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
92 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
93 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
94 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
95 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
96 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
97 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
98 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
99 129.64 0 2 0 0 0 0 0 0 13.0 2 0 2 0
