cycle chargeConsumedActive chargeConsumedIdle packetsgenerated PacketsReachedTheDAGROOT droppedNoRoute droppedNoTxCells droppedQueueFull droppedMacRetries idleListening AverageQueueDelay numTx numRxCells numTxCells aveHops
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 1746.5999999999979 0 0 0 0 0 0 71 0 0 99 0 0
2 7459.299999999987 1795.7999999999977 0 97 0 0 0 0 73 0 0 99 0 1.1134020618556701
3 7613.099999999987 4181.999999999991 0 99 0 0 0 0 170 0 0 99 0 1.1313131313131313
4 7613.099999999987 6617.400000000027 0 99 0 0 0 0 269 0 0 99 0 1.1313131313131313
5 7920.699999999985 8954.400000000061 0 103 0 0 0 0 364 0 0 99 0 1.1262135922330097
6 15072.399999999952 9102.000000000064 0 196 0 0 0 0 370 0 0 99 0 1.1224489795918366
7 15226.199999999952 11488.200000000099 0 198 0 0 0 0 467 0 0 99 0 1.1313131313131313
8 15226.199999999952 13923.600000000135 0 198 0 0 0 0 566 0 0 99 0 1.1313131313131313
9 15226.199999999952 16359.000000000171 0 198 0 0 0 0 665 0 0 99 0 1.1313131313131313
10 15226.199999999952 18794.40000000003 0 198 0 0 0 0 764 0 0 99 0 1.1313131313131313
11 15226.199999999952 21229.799999999886 0 198 0 0 0 0 863 0 0 99 0 1.1313131313131313
12 15226.199999999952 23665.199999999742 0 198 0 0 0 0 962 0 0 99 0 1.1313131313131313
13 15226.199999999952 26100.5999999996 0 198 0 0 0 0 1061 0 0 99 0 1.1313131313131313
14 15226.199999999952 28535.999999999454 0 198 0 0 0 0 1160 0 0 99 0 1.1313131313131313
15 15226.199999999952 30971.39999999931 0 198 0 0 0 0 1259 0 0 99 0 1.1313131313131313
16 15226.199999999952 33406.799999999166 0 198 0 0 0 0 1358 0 0 99 0 1.1313131313131313
17 15226.199999999952 35842.19999999902 0 198 0 0 0 0 1457 0 0 99 0 1.1313131313131313
18 15226.199999999952 38277.59999999888 0 198 0 0 0 0 1556 0 0 99 0 1.1313131313131313
19 15226.199999999952 40712.999999998734 0 198 0 0 0 0 1655 0 0 99 0 1.1313131313131313
20 15226.199999999952 43148.39999999859 0 198 0 0 0 0 1754 0 0 99 0 1.1313131313131313
21 15226.199999999952 45583.799999998446 0 198 0 0 0 0 1853 0 0 99 0 1.1313131313131313
22 15226.199999999952 48019.1999999983 0 198 0 0 0 0 1952 0 0 99 0 1.1313131313131313
