cycle chargeConsumedActive chargeConsumedIdle packetsgenerated PacketsReachedTheDAGROOT droppedNoRoute droppedNoTxCells droppedQueueFull droppedMacRetries idleListening AverageQueueDelay numTx numRxCells numTxCells aveHops
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 1 0 0 0 0 0 0 0 0 1 2 0
2 206.54 0 1 0 0 0 0 0 0 52.0 2 1 2 0
3 206.54 24.6 1 0 0 0 0 0 1 52.0 2 1 2 0
4 206.54 49.2 1 0 0 0 0 0 2 52.0 2 1 2 0
5 206.54 73.80000000000001 2 0 0 0 0 0 3 52.0 2 1 2 0
6 413.08 73.80000000000001 2 0 0 0 0 0 3 53.0 4 1 2 0
7 413.08 98.4 2 0 0 0 0 0 4 53.0 4 1 2 0
8 413.08 123.0 2 0 0 0 0 0 5 53.0 4 1 2 0
9 413.08 147.6 2 0 0 0 0 0 6 53.0 4 1 2 0
10 413.08 172.2 2 0 0 0 0 0 7 53.0 4 1 2 0
11 413.08 196.79999999999998 2 0 0 0 0 0 8 53.0 4 1 2 0
12 413.08 221.39999999999998 2 0 0 0 0 0 9 53.0 4 1 2 0
13 413.08 245.99999999999997 2 0 0 0 0 0 10 53.0 4 1 2 0
14 413.08 270.59999999999997 2 0 0 0 0 0 11 53.0 4 1 2 0
15 413.08 295.2 2 0 0 0 0 0 12 53.0 4 1 2 0
16 413.08 319.8 2 0 0 0 0 0 13 53.0 4 1 2 0
17 413.08 344.40000000000003 2 0 0 0 0 0 14 53.0 4 1 2 0
18 413.08 369.00000000000006 2 0 0 0 0 0 15 53.0 4 1 2 0
19 413.08 393.6000000000001 2 0 0 0 0 0 16 53.0 4 1 2 0
20 413.08 418.2000000000001 2 0 0 0 0 0 17 53.0 4 1 2 0
21 413.08 442.8000000000001 2 0 0 0 0 0 18 53.0 4 1 2 0
22 413.08 467.40000000000015 2 0 0 0 0 0 19 53.0 4 1 2 0
23 413.08 492.00000000000017 2 0 0 0 0 0 20 53.0 4 1 2 0
24 413.08 516.6000000000001 2 0 0 0 0 0 21 53.0 4 1 2 0
25 413.08 541.2000000000002 2 0 0 0 0 0 22 53.0 4 1 2 0
26 413.08 565.8000000000002 2 0 0 0 0 0 23 53.0 4 1 2 0
27 413.08 590.4000000000002 2 0 0 0 0 0 24 53.0 4 1 2 0
28 413.08 615.0000000000002 2 0 0 0 0 0 25 53.0 4 1 2 0
29 413.08 639.6000000000003 2 0 0 0 0 0 26 53.0 4 1 2 0
30 413.08 664.2000000000003 2 0 0 0 0 0 27 53.0 4 1 2 0
31 413.08 688.8000000000003 2 0 0 0 0 0 28 53.0 4 1 2 0
32 413.08 713.4000000000003 2 0 0 0 0 0 29 53.0 4 1 2 0
33 413.08 738.0000000000003 2 0 0 0 0 0 30 53.0 4 1 2 0
34 413.08 762.6000000000004 2 0 0 0 0 0 31 53.0 4 1 2 0
35 413.08 787.2000000000004 2 0 0 0 0 0 32 53.0 4 1 2 0
36 413.08 811.8000000000004 2 0 0 0 0 0 33 53.0 4 1 2 0
37 413.08 836.4000000000004 2 0 0 0 0 0 34 53.0 4 1 2 0
38 413.08 861.0000000000005 2 0 0 0 0 0 35 53.0 4 1 2 0
39 413.08 885.6000000000005 2 0 0 0 0 0 36 53.0 4 1 2 0
40 413.08 910.2000000000005 2 0 0 0 0 0 37 53.0 4 1 2 0
41 413.08 934.8000000000005 2 0 0 0 0 0 38 53.0 4 1 2 0
42 413.08 959.4000000000005 2 0 0 0 0 0 39 53.0 4 1 2 0
43 413.08 984.0000000000006 2 0 0 0 0 0 40 53.0 4 1 2 0
44 413.08 1008.6000000000006 2 0 0 0 0 0 41 53.0 4 1 2 0
