## dioPeriod = 1.0
## startTime = 1513661946.72
## numMotes = 100
## otfHousekeepingPeriod = 5.0
## _init = True
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## slotDuration = 0.1
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## numRuns = 1
## otfThreshold = 8
## sixtopNoRemoveWorstCell = 0
## burstTimestamp = 20
## slotLength = 3000
## simDataDir = simData
## numChans = 16
## minRssi = -97
## noInterference = 0
## _instance = None
## numPacketsBurst = 5
## gui = True
## pkPeriod = 1.0
## combinationKeys = ['numMotes', 'otfThreshold']
## sixtopHousekeepingPeriod = 1.0


 #position of mote at runNum=0 mote id: 0 mote x,y coordinate: (1.00000,1.00000) mote-rank: None 
 mote id: 71 mote x,y coordinate: (0.69203,0.65445) mote-rank: 11849 
 mote id: 72 mote x,y coordinate: (1.19967,0.52861) mote-rank: 13105 
 mote id: 73 mote x,y coordinate: (0.69932,0.21933) mote-rank: 21416 
 mote id: 74 mote x,y coordinate: (1.31879,1.51982) mote-rank: 15610 
 mote id: 75 mote x,y coordinate: (1.63255,1.34719) mote-rank: 18472 
 mote id: 76 mote x,y coordinate: (1.85942,0.46279) mote-rank: 25945 
 mote id: 77 mote x,y coordinate: (1.44568,1.58855) mote-rank: 18899 
 mote id: 78 mote x,y coordinate: (0.63108,1.13754) mote-rank: 10079 
 mote id: 79 mote x,y coordinate: (1.05983,1.53960) mote-rank: 13898 
 mote id: 80 mote x,y coordinate: (0.66276,0.22751) mote-rank: 21578 
 mote id: 81 mote x,y coordinate: (1.06327,1.37983) mote-rank: 9857 
 mote id: 82 mote x,y coordinate: (1.80756,1.15357) mote-rank: 21044 
 mote id: 83 mote x,y coordinate: (1.11682,1.51784) mote-rank: 13589 
 mote id: 84 mote x,y coordinate: (1.44974,1.45427) mote-rank: 16364 
 mote id: 85 mote x,y coordinate: (0.84869,1.08431) mote-rank: 4434 
 mote id: 86 mote x,y coordinate: (0.30287,0.89111) mote-rank: 18062 
 mote id: 87 mote x,y coordinate: (0.95158,0.97906) mote-rank: 1350 
 mote id: 88 mote x,y coordinate: (0.35871,1.94643) mote-rank: 29266 
 mote id: 89 mote x,y coordinate: (1.13720,0.79539) mote-rank: 6306 
 mote id: 90 mote x,y coordinate: (0.56875,1.31855) mote-rank: 13725 
 mote id: 91 mote x,y coordinate: (1.25042,1.55383) mote-rank: 15560 
 mote id: 92 mote x,y coordinate: (1.99076,1.11735) mote-rank: 25540 
 mote id: 93 mote x,y coordinate: (0.36306,0.66215) mote-rank: 18457 
 mote id: 94 mote x,y coordinate: (0.36091,0.23524) mote-rank: 25514 
 mote id: 95 mote x,y coordinate: (0.06594,0.84075) mote-rank: 24257 
 mote id: 96 mote x,y coordinate: (0.39199,1.68341) mote-rank: 23416 
 mote id: 97 mote x,y coordinate: (1.67994,0.13439) mote-rank: 28178 
 mote id: 98 mote x,y coordinate: (0.07676,1.18558) mote-rank: 24107 
 mote id: 99 mote x,y coordinate: (0.74296,0.55709) mote-rank: 13109 



 #The topology of the simulation at numRun=0 1->0 
 2->0 
 3->0 
 4->0 
 5->0 
 6->71 
 7->0 
 8->0 
 9->85 
 10->0 
 11->0 
 12->0 
 13->0 
 14->0 
 15->0 
 16->0 
 17->0 
 18->0 
 19->0 
 20->0 
 21->85 
 22->0 
 23->0 
 24->0 
 25->0 
 26->0 
 27->0 
 28->37 
 29->0 
 30->0 
 31->0 
 32->0 
 33->0 
 34->0 
 35->0 
 36->0 
 37->0 
 38->0 
 39->0 
 40->0 
 41->0 
 42->0 
 43->0 
 44->0 
 45->0 
 46->44 
 47->32 
 48->0 
 49->0 
 50->0 
 51->0 
 52->0 
 53->0 
 54->0 
 55->0 
 56->31 
 57->0 
 58->0 
 59->0 
 60->0 
 61->0 
 62->0 
 63->32 
 64->31 
 65->0 
 66->0 
 67->0 
 68->0 
 69->0 
 70->85 
 71->0 
 72->0 
 73->0 
 74->0 
 75->0 
 76->34 
 77->0 
 78->0 
 79->0 
 80->0 
 81->0 
 82->0 
 83->0 
 84->0 
 85->0 
 86->0 
 87->0 
 88->85 
 89->0 
 90->0 
 91->0 
 92->0 
 93->0 
 94->0 
 95->0 
 96->0 
 97->34 
 98->0 
 99->0 

