## dioPeriod = 1.0
## burstTimestamp = 20
## minRssi = -97
## numMotes = 20
## otfHousekeepingPeriod = 5.0
## _init = True
## sixtopNoRemoveWorstCell = 0
## simDataDir = simData
## numChans = 16
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## pkPeriod = 1.0
## sixtopHousekeepingPeriod = 1.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## startTime = 1512045140.05
## slotDuration = 0.9
## numRuns = 2
## combinationKeys = ['numMotes', 'otfThreshold']
## gui = True
## numPacketsBurst = 5
## otfThreshold = 1
## noInterference = 0
## slotLength = 3000


# appGenerated appReachesDagroot appRelayed aveHops aveLatency aveQueueDelay awake chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs idle numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum scheduleCollisions sleep topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txQueueFill
          2288               988          0   1.000     91.340      1185.405  5967     272249.660           0    27                     890               245              0                0              890                    0 2207         16  2453         16   2520         3                  0                19                  7          492    27056     3160      0                  0 24788                   0                     0                   0         165
          2368              1025          0   1.000     92.272      1196.837  6118     282192.340           0    28                     926               254              0                0              926                    0 2261         16  2542         16   2608         3                  0                19                  7          499    27911     3260      0                  0 25408                   0                     0                   0         163
          2448              1056          0   1.000     92.973      1204.885  6301     291512.740           0    29                     961               263              0                0              961                    0 2322         16  2627         16   2698         3                  0                19                  7          510    28937     3380      0                  0 26072                   0                     0                   0         168
          2528              1095          0   1.000     94.299      1219.409  6463     301624.840           0    30                     995               272              0                0              995                    0 2385         16  2717         16   2786         3                  0                19                  7          519    29792     3480      0                  0 26712                   0                     0                   0         166
          2608              1127          0   1.000     94.059      1221.949  6646     311127.180           0    31                    1031               281              0                0             1031                    0 2447         16  2804         16   2876         3                  0                19                  7          531    30818     3600      0                  0 27439                   0                     0                   0         169
          2688              1164          0   1.000     94.583      1229.645  6848     320955.840           0    32                    1068               294              0                0             1068                    0 2519         16  2892         16   2965         3                  0                19                  7          537    31844     3720      0                  0 28176                   0                     0                   0         162
          2768              1202          0   1.000     94.478      1232.510  7029     331015.640           0    33                    1101               307              0                0             1101                    0 2579         16  2982         16   3054         3                  0                19                  7          542    32699     3820      0                  0 28872                   0                     0                   0         158
          2848              1233          0   1.000     94.409      1238.971  7255     340530.500           0    34                    1134               315              0                0             1134                    0 2653         16  3070         16   3144         3                  0                19                  7          551    33725     3940      0                  0 29621                   0                     0                   0         166
          2928              1272          0   1.000     95.670      1252.543  7437     350488.360           0    35                    1170               324              0                0             1170                    0 2713         16  3158         16   3232         3                  0                19                  7          557    34580     4040      0                  0 30287                   0                     0                   0         162
          3008              1306          0   1.000     95.611      1256.543  7472     360184.720           0    36                    1206               333              0                0             1206                    0 2726         16  3246         16   3322         3                  0                19                  7          563    35606     4160      0                  0 30404                   0                     0                   0         163
          3088              1341          0   1.000     96.355      1266.504  7697     369843.960           0    37                    1242               341              0                0             1242                    0 2793         16  3333         16   3409         3                  0                19                  7          571    36632     4280      0                  0 31173                   0                     0                   0         164
          3168              1376          0   1.000     98.116      1283.010  7878     379552.400           0    38                    1279               349              0                0             1279                    0 2858         16  3420         16   3499         3                  0                19                  7          579    37487     4380      0                  0 31936                   0                     0                   0         164
          3248              1408          0   1.000     98.050      1290.011  8091     389119.560           0    39                    1318               358              0                0             1318                    0 2930         16  3508         16   3589         3                  0                19                  7          587    38513     4500      0                  0 32667                   0                     0                   0         164
          3328              1444          0   1.000     99.126      1303.996  8314     398831.100           0    40                    1355               369              0                0             1355                    0 3007         16  3595         16   3677         3                  0                19                  7          592    39539     4620      0                  0 33417                   0                     0                   0         160
          3424              1479          0   1.000     99.814      1312.344  8501     408734.000           0    41                    1391               382              0                0             1391                    0 3077         16  3685         16   3766         3                  0                19                  7          600    40394     4720      0                  0 34080                   0                     0                   0         172
          3504              1514          0   1.000    100.495      1320.647  8702     418393.240           0    42                    1427               391              0                0             1427                    0 3144         16  3772         16   3856         3                  0                19                  7          606    41420     4840      0                  0 34810                   0                     0                   0         172
          3584              1554          0   1.000    101.159      1328.339  8894     428557.640           0    43                    1463               399              0                0             1463                    0 3224         16  3862         16   3947         3                  0                19                  7          611    42275     4940      0                  0 35574                   0                     0                   0         168
          3664              1589          0   1.000    101.104      1330.753  9032     438216.880           0    44                    1500               408              0                0             1500                    0 3272         16  3949         16   4037         3                  0                19                  7          617    43301     5060      0                  0 36076                   0                     0                   0         167
          3744              1625          0   1.000    101.791      1337.692  9097     447863.600           0    45                    1535               416              0                0             1535                    0 3294         16  4035         16   4127         3                  0                19                  7          622    44327     5180      0                  0 36292                   0                     0                   0         168
          3824              1659          0   1.000    101.729      1339.894  9291     457649.380           0    46                    1572               425              0                0             1572                    0 3363         16  4124         16   4216         3                  0                19                  7          626    45182     5280      0                  0 36997                   0                     0                   0         168
          3904              1689          0   1.000    101.456      1343.179  9482     466982.300           0    47                    1612               434              0                0             1612                    0 3434         16  4210         16   4304         3                  0                19                  7          631    46208     5400      0                  0 37717                   0                     0                   0         169
          3984              1726          0   1.000    101.390      1346.736  9644     476924.980           0    48                    1648               446              0                0             1648                    0 3496         16  4299         16   4393         3                  0                19                  7          637    47063     5500      0                  0 38388                   0                     0                   0         164
          4064              1761          0   1.000    102.133      1355.438  9851     486584.220           0    49                    1681               459              0                0             1681                    0 3568         16  4386         16   4483         3                  0                19                  7          642    48089     5620      0                  0 39127                   0                     0                   0         163
          4144              1801          0   1.000    103.538      1366.332 10033     496504.960           0    50                    1712               467              0                0             1712                    0 3634         16  4473         16   4571         3                  0                19                  7          647    49115     5740      0                  0 39750                   0                     0                   0         164
          4224              1836          0   1.000    103.706      1368.573 10211     506343.040           0    51                    1748               476              0                0             1748                    0 3702         16  4562         16   4661         3                  0                19                  7          651    49970     5840      0                  0 40439                   0                     0                   0         164
          4304              1875          0   1.000    104.160      1372.341 10400     516276.300           0    52                    1783               484              0                0             1783                    0 3783         16  4650         16   4751         3                  0                19                  7          656    50996     5960      0                  0 41217                   0                     0                   0         162
          4384              1912          0   1.000    104.074      1373.143 10520     526129.560           0    53                    1819               492              0                0             1819                    0 3821         16  4738         16   4840         3                  0                19                  7          659    51851     6060      0                  0 41644                   0                     0                   0         161
          4464              1944          0   1.000    104.213      1375.070 10605     535591.680           0    54                    1857               500              0                0             1857                    0 3849         16  4824         16   4930         3                  0                19                  7          666    52877     6180      0                  0 41985                   0                     0                   0         163
          4544              1975          0   1.000    103.392      1374.876 10825     545106.540           0    55                    1896               509              0                0             1896                    0 3926         16  4912         16   5019         3                  0                19                  7          669    53903     6300      0                  0 42786                   0                     0                   0         164
          4624              2010          0   1.000    104.017      1381.792 11004     555009.440           0    56                    1933               519              0                0             1933                    0 3992         16  5002         16   5109         3                  0                19                  7          676    54758     6400      0                  0 43473                   0                     0                   0         162
          4704              2046          0   1.000    104.005      1385.186 11194     564785.800           0    57                    1970               533              0                0             1970                    0 4060         16  5090         16   5199         3                  0                19                  7          681    55784     6520      0                  0 44135                   0                     0                   0         155
          4784              2079          0   1.000    103.866      1387.448 11388     574340.440           0    58                    2003               543              0                0             2003                    0 4136         16  5177         16   5288         3                  0                19                  7          689    56810     6640      0                  0 44843                   0                     0                   0         159
          4864              2118          0   1.000    104.521      1393.899 11565     584452.540           0    59                    2034               551              0                0             2034                    0 4200         16  5267         16   5378         3                  0                19                  7          693    57665     6740      0                  0 45552                   0                     0                   0         161
          4944              2151          0   1.000    104.232      1394.329 11748     594007.180           0    60                    2071               560              0                0             2071                    0 4266         16  5354         16   5465         3                  0                19                  7          698    58691     6860      0                  0 46186                   0                     0                   0         162
          5040              2184          0   1.000    103.793      1394.872 11899     603611.020           0    61                    2119               569              0                0             2119                    0 4321         16  5441         16   5557         3                  0                19                  7          702    59546     6960      0                  0 46829                   0                     0                   0         168
          5120              2218          0   1.000    104.349      1405.163 11980     613217.960           0    62                    2156               577              0                0             2156                    0 4348         16  5528         16   5645         3                  0                19                  7          706    60572     7080      0                  0 47094                   0                     0                   0         169
          5200              2252          0   1.000    104.586      1411.300 12094     622824.900           0    63                    2193               586              0                0             2193                    0 4387         16  5615         16   5731         3                  0                19                  7          711    61598     7200      0                  0 47492                   0                     0                   0         169
          5280              2289          0   1.000    105.463      1422.328 12287     632832.400           0    64                    2230               596              0                0             2230                    0 4455         16  5705         16   5824         3                  0                19                  7          716    62453     7300      0                  0 48240                   0                     0                   0         165
          5360              2323          0   1.000    105.760      1427.770 12507     642439.340           0    65                    2262               609              0                0             2262                    0 4534         16  5792         16   5916         3                  0                19                  7          721    63479     7420      0                  0 49089                   0                     0                   0         166
          5440              2358          0   1.000    105.458      1429.600 12761     652342.240           0    66                    2296               619              0                0             2296                    0 4637         16  5882         16   6005         3                  0                19                  7          726    64334     7520      0                  0 50277                   0                     0                   0         167
          5520              2393          0   1.000    105.686      1433.518 12945     662001.480           0    67                    2333               628              0                0             2333                    0 4722         16  5969         16   6093         3                  0                19                  7          728    65360     7640      0                  0 51060                   0                     0                   0         166
          5600              2430          0   1.000    106.285      1439.228 13158     671765.320           0    68                    2368               636              0                0             2368                    0 4794         16  6056         16   6182         3                  0                19                  7          732    66386     7760      0                  0 51905                   0                     0                   0         166
          5680              2466          0   1.000    106.152      1440.109 13299     681655.700           0    69                    2405               645              0                0             2405                    0 4842         16  6145         16   6272         3                  0                19                  7          735    67241     7860      0                  0 52443                   0                     0                   0         164
          5760              2500          0   1.000    106.293      1442.135 13444     691133.000           0    70                    2441               653              0                0             2441                    0 4907         16  6230         16   6360         3                  0                19                  7          739    68267     7980      0                  0 53069                   0                     0                   0         166
          5840              2537          0   1.000    106.318      1444.060 13777     700986.260           0    71                    2478               661              0                0             2478                    0 5038         16  6318         16   6449         3                  0                19                  7          742    69122     8080      0                  0 54503                   0                     0                   0         164
          5920              2572          0   1.000    106.336      1445.698 14019     710734.920           0    72                    2514               670              0                0             2514                    0 5123         16  6406         16   6536         3                  0                19                  7          745    70148     8200      0                  0 55361                   0                     0                   0         164
          6000              2608          0   1.000    106.507      1447.910 14210     720446.460           0    73                    2549               685              0                0             2549                    0 5187         16  6493         16   6626         3                  0                19                  7          748    71174     8320      0                  0 56034                   0                     0                   0         158
          6080              2647          0   1.000    106.934      1451.148 14382     730493.740           0    74                    2580               695              0                0             2580                    0 5251         16  6582         16   6714         3                  0                19                  7          753    72029     8420      0                  0 56811                   0                     0                   0         158
