## dioPeriod = 1.0
## burstTimestamp = 20
## minRssi = -97
## numMotes = 18
## otfHousekeepingPeriod = 5.0
## sixtopNoRemoveWorstCell = 0
## simDataDir = simData
## numChans = 16
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## pkPeriod = 1.0
## sixtopHousekeepingPeriod = 1.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## startTime = 1511942738.79
## slotDuration = 0.9
## numRuns = 2
## combinationKeys = ['numMotes', 'otfThreshold']
## gui = True
## numPacketsBurst = 5
## otfThreshold = 1
## noInterference = 0
## slotLength = 3000


# appGenerated appReachesDagroot appRelayed aveHops aveLatency aveQueueDelay awake chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs idle numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum scheduleCollisions sleep topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txQueueFill
          2368               437          0   1.000    158.256      1874.956  2755     252736.340           0    28                    1348               372              0                0             1348                    0 1024         16  2562         16    879         1                  0                17                  1           99    23477     2933      0                  0 15396                   0                     0                   0         211
          2448               450          0   1.000    154.804      1874.968  2861     261374.620           0    29                    1403               385              0                0             1403                    0 1058         16  2651         16    909         1                  0                17                  1          100    24341     3041      0                  0 15951                   0                     0                   0         210
          2528               461          0   1.000    154.839      1880.095  2973     269957.500           0    30                    1457               398              0                0             1457                    0 1099         16  2740         16    939         1                  0                17                  1          100    25061     3131      0                  0 16566                   0                     0                   0         212
          2608               474          0   1.000    152.852      1882.059  3089     278595.780           0    31                    1512               411              0                0             1512                    0 1142         16  2829         16    967         1                  0                17                  1          102    25925     3239      0                  0 17152                   0                     0                   0         211
          2688               492          0   1.000    158.618      1942.462  3189     287430.740           0    32                    1563               428              0                0             1563                    0 1183         16  2917         16    997         1                  0                17                  1          103    26789     3347      0                  0 17763                   0                     0                   0         205
          2768               507          0   1.000    158.750      1950.548  3284     296352.460           0    33                    1611               446              0                0             1611                    0 1227         16  3008         16   1027         1                  0                17                  1          103    27509     3437      0                  0 18331                   0                     0                   0         204
          2848               520          0   1.000    161.433      1994.760  3379     304861.100           0    34                    1658               460              0                0             1658                    0 1266         16  3095         16   1057         1                  0                17                  1          105    28373     3545      0                  0 18886                   0                     0                   0         210
          2928               534          0   1.000    163.712      2010.124  3481     313576.280           0    35                    1710               472              0                0             1710                    0 1303         16  3184         16   1086         1                  0                17                  1          106    29093     3635      0                  0 19464                   0                     0                   0         212
          3008               547          0   1.000    161.837      2015.071  3511     322303.980           0    36                    1765               486              0                0             1765                    0 1315         16  3274         16   1116         1                  0                17                  1          106    29957     3743      0                  0 19622                   0                     0                   0         210
          3088               563          0   1.000    163.433      2023.876  3546     330969.520           0    37                    1818               498              0                0             1818                    0 1329         16  3361         16   1145         1                  0                17                  1          107    30821     3851      0                  0 19822                   0                     0                   0         209
          3168               578          0   1.000    165.087      2032.791  3663     339891.240           0    38                    1870               510              0                0             1870                    0 1374         16  3452         16   1175         1                  0                17                  1          108    31541     3941      0                  0 20435                   0                     0                   0         210
          3248               593          0   1.000    166.396      2039.369  3776     348504.480           0    39                    1924               522              0                0             1924                    0 1408         16  3539         16   1204         1                  0                17                  1          108    32405     4049      0                  0 20987                   0                     0                   0         209
          3328               608          0   1.000    166.171      2042.129  3883     357247.360           0    40                    1976               539              0                0             1976                    0 1445         16  3628         16   1233         1                  0                17                  1          109    33269     4157      0                  0 21600                   0                     0                   0         205
          3421               623          0   1.000    169.077      2077.103  3994     366039.440           0    41                    2029               558              0                0             2029                    0 1488         16  3717         16   1263         1                  0                17                  1          110    33989     4247      0                  0 22237                   0                     0                   0         211
          3504               642          0   1.000    173.949      3415.232  4106     374926.700           0    42                    2082               568              0                0             2082                    0 1535         16  3805         16   1294         1                  0                17                  1          110    34850     4355      0                  0 22894                   0                     0                   0         212
          3584               656          0   1.000    172.960      3416.227  4210     383796.120           0    43                    2135               581              0                0             2135                    0 1578         16  3896         16   1324         1                  0                17                  1          111    35565     4445      0                  0 23521                   0                     0                   0         212
          3664               672          0   1.000    174.396      3376.057  4318     392461.660           0    44                    2186               594              0                0             2186                    0 1618         16  3983         16   1354         1                  0                17                  1          111    36423     4553      0                  0 24108                   0                     0                   0         212
          3744               686          0   1.000    176.615      3402.610  4434     401152.240           0    45                    2240               605              0                0             2240                    0 1664         16  4072         16   1384         1                  0                17                  1          113    37281     4661      0                  0 24715                   0                     0                   0         213
          3824               704          0   1.000    177.849      3423.405  4532     410166.040           0    46                    2291               618              0                0             2291                    0 1701         16  4162         16   1414         1                  0                17                  1          113    37996     4751      0                  0 25277                   0                     0                   0         211
          3904               724          0   1.000    181.291      3420.735  4586     419170.420           0    47                    2341               629              0                0             2341                    0 1726         16  4251         16   1443         1                  0                17                  1          113    38854     4859      0                  0 25570                   0                     0                   0         210
          3984               737          0   1.000    181.509      3422.916  4624     427857.900           0    48                    2394               646              0                0             2394                    0 1743         16  4340         16   1473         1                  0                17                  1          113    39569     4949      0                  0 25793                   0                     0                   0         207
          4064               753          0   1.000    182.531      3432.753  4722     436653.080           0    49                    2441               663              0                0             2441                    0 1780         16  4429         16   1503         1                  0                17                  1          116    40427     5057      0                  0 26300                   0                     0                   0         207
          4144               769          0   1.000    182.460      3433.198  4820     445383.440           0    50                    2488               677              0                0             2488                    0 1817         16  4517         16   1533         1                  0                17                  1          116    41285     5165      0                  0 26848                   0                     0                   0         210
          4224               786          0   1.000    183.570      3434.794  5126     454280.120           0    51                    2539               691              0                0             2539                    0 1957         16  4606         16   1561         1                  0                17                  1          116    42000     5255      0                  0 28921                   0                     0                   0         208
          4304               803          0   1.000    182.487      3433.964  5460     463127.600           0    52                    2589               703              0                0             2589                    0 2112         16  4695         16   1590         1                  0                17                  1          117    42858     5363      0                  0 31329                   0                     0                   0         209
          4384               816          0   1.000    183.257      3440.215  5680     471725.660           0    53                    2643               716              0                0             2643                    0 2212         16  4783         16   1620         1                  0                17                  1          117    43573     5453      0                  0 32881                   0                     0                   0         209
          4464               828          0   1.000    180.754      3440.097  5922     480401.060           0    54                    2696               730              0                0             2696                    0 2325         16  4873         16   1650         1                  0                17                  1          118    44431     5561      0                  0 34655                   0                     0                   0         210
