## dioPeriod = 1.0
## startTime = 1510971374.63
## numMotes = 13
## otfHousekeepingPeriod = 5.0
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## slotDuration = 0.9
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## numRuns = 2
## otfThreshold = 4
## sixtopNoRemoveWorstCell = 0
## burstTimestamp = 20
## slotLength = 3000
## simDataDir = simData
## numChans = 16
## minRssi = -97
## noInterference = 0
## numPacketsBurst = 5
## gui = True
## pkPeriod = 1.0
## combinationKeys = ['numMotes', 'otfThreshold']
## sixtopHousekeepingPeriod = 1.0


# appGenerated appReachesDagroot appRelayed aveHops aveLatency aveQueueDelay awake chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs idle numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum scheduleCollisions sleep topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txQueueFill
           697                15          3   1.067     47.600       273.000    42       4575.820           0     0                     561                 1              0                0              568                    0   16          6    18          6    116         7                  0                12                 38           25      253       50      0                  0   167                   0                     0                   0         120
          1303                30          3   1.033     95.633       585.400    83       6969.880           0     1                    1152                 1              0                0             1159                    0   30          6    36          6    251         7                  0                12                 68           59      451       89      0                  0   303                   0                     0                   0         120
          1909                45          3   1.044    142.667       873.548   129       9363.940           0     2                    1743                 1              0                0             1750                    0   52          6    54          6    385         7                  0                12                 91           92      649      128      0                  0   431                   0                     0                   0         120
          2515                60          3   1.050    185.667      1102.364   184      11847.420           0     3                    2334                 1              0                0             2341                    0   81          6    73          6    521         7                  0                12                120          136      913      180      0                  0   595                   0                     0                   0         120
          3121                77          3   1.039    217.545      1267.333   249      14793.180           0     4                    2922                 2              0                0             2929                    0  106          6    96          6    656         7                  0                12                141          169     1111      219      0                  0   771                   0                     0                   0         120
          3727                93          3   1.032    244.667      1548.953   304      17239.540           0     5                    3512                 2              0                0             3519                    0  136          6   114          6    790         7                  0                12                162          202     1309      258      0                  0   953                   0                     0                   0         120
          4333               110          3   1.027    266.982      1713.500   342      19738.200           0     6                    4101                 2              0                0             4108                    0  149          6   132          6    925         7                  0                12                186          229     1507      297      0                  0  1085                   0                     0                   0         120
          4939               127          3   1.024    279.575      1802.073   401      22415.700           0     7                    4690                 2              0                0             4697                    0  171          6   152          6   1060         7                  0                12                218          267     1771      349      0                  0  1257                   0                     0                   0         120
          5545               143          3   1.021    289.049      1865.592   448      25219.740           0     8                    5280                 2              0                0             5287                    0  194          6   174          6   1196         7                  0                12                242          297     1969      388      0                  0  1396                   0                     0                   0         120
          6151               158          3   1.019    297.513      1919.141   486      27613.800           0     9                    5871                 2              0                0             5878                    0  217          6   192          6   1332         7                  0                12                266          324     2167      427      0                  0  1522                   0                     0                   0         120
          6757               173          3   1.017    302.538      1950.965   523      30097.280           0    10                    6462                 2              0                0             6469                    0  231          6   211          6   1466         7                  0                12                290          351     2365      466      0                  0  1642                   0                     0                   0         120
          7363               186          3   1.016    307.226      1982.026   591      32565.580           0    11                    7055                 2              0                0             7062                    0  262          6   231          6   1599         7                  0                12                322          386     2629      518      0                  0  1820                   0                     0                   0         120
          7969               200          3   1.015    314.240      2028.255   645      35175.600           0    12                    7647                 2              0                0             7654                    0  288          6   252          6   1733         7                  0                12                346          413     2827      557      0                  0  1992                   0                     0                   0         120
          8575               217          3   1.014    323.479      2090.013   701      37674.260           0    13                    8236                 2              0                0             8243                    0  311          6   270          6   1866         7                  0                12                370          440     3025      596      0                  0  2158                   0                     0                   0         120
          9181               232          3   1.013    328.754      2129.363   743      40157.740           0    14                    8827                 2              0                0             8834                    0  331          6   289          6   2001         7                  0                12                394          470     3223      635      0                  0  2309                   0                     0                   0         120
          9787               250          3   1.012    335.340      2174.776   765      42976.960           0    15                    9415                 2              0                0             9422                    0  341          6   310          6   2138         7                  0                12                426          502     3487      687      0                  0  2386                   0                     0                   0         120
         10393               266          3   1.011    336.962      2190.535   817      45602.160           0    16                   10005                 2              0                0            10012                    0  362          6   330          6   2273         7                  0                12                450          526     3685      726      0                  0  2505                   0                     0                   0         120
         10999               280          3   1.011    337.054      2197.331   861      47943.920           0    17                   10597                 2              0                0            10604                    0  382          6   348          6   2406         7                  0                12                474          547     3883      765      0                  0  2654                   0                     0                   0         120
         11605               292          3   1.010    337.110      2203.724   925      50270.500           0    18                   11190                 3              0                0            11197                    0  411          6   367          6   2537         7                  0                12                498          574     4081      804      0                  0  2848                   0                     0                   0         120
         12211               311          3   1.010    342.132      2242.112   988      53231.440           0    19                   11777                 3              0                0            11784                    0  440          6   389          6   2674         7                  0                12                530          606     4345      856      0                  0  3022                   0                     0                   0         120
