## dioPeriod = 1.0
## startTime = 1510989412.89
## numMotes = 4
## otfHousekeepingPeriod = 5.0
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## slotDuration = 0.9
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## numRuns = 2
## otfThreshold = 4
## sixtopNoRemoveWorstCell = 0
## burstTimestamp = 20
## slotLength = 3000
## simDataDir = simData
## numChans = 16
## minRssi = -97
## noInterference = 0
## numPacketsBurst = 5
## gui = True
## pkPeriod = 1.0
## combinationKeys = ['numMotes', 'otfThreshold']
## sixtopHousekeepingPeriod = 1.0

         16950                 0          0       0          0             0  3596     378783.120           0    83                   16084               846              0                0            16084                    0  981          2  4236          2      2         0                  0                 2                  0            0     4238     6357      1                  0  2734                   0                     0                   0          20
         23607              2346          0   1.000     65.568       142.226  5000     544782.800           0    77                   20891               340              0                0            20891                    0 1389          3  4720          3    897         0                  0                 3                  0         1573    14166     6296      1                  0  3661                   0                     0                   0          30

# appGenerated appReachesDagroot appRelayed aveHops aveLatency aveQueueDelay awake chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs idle numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum scheduleCollisions sleep topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txQueueFill
           184                20          0   1.000     31.750        31.750    59       4980.480           0     0                     140                 4              0                0              140                    0   17          2    44          2      8         0                  0                 2                  0           22       96       72      0                  0    62                   0                     0                   0          20
         17152                 0          0       0          0             0  3635     383254.120           0    84                   16276               856              0                0            16276                    0  989          2  4286          2      2         0                  0                 2                  0            0     4290     6435      1                  0  2767                   0                     0                   0          20
           386                46          0   1.000     36.413        36.413   113      10900.700           0     1                     311                 9              0                0              311                    0   27          2    95          2     13         0                  0                 2                  0           43      196      147      0                  0   104                   0                     0                   0          20
         17354                 0          0       0          0             0  3690     387814.540           0    85                   16468               866              0                0            16468                    0 1011          2  4337          2      2         0                  0                 2                  0            0     4340     6510      1                  0  2805                   0                     0                   0          20
         23910              2380          0   1.000     65.489       141.937  5081     552015.620           0    78                   21156               344              0                0            21156                    0 1418          3  4781          3    910         0                  0                 3                  0         1585    14346     6376      1                  0  3720                   0                     0                   0          30
         17556                 0          0       0          0             0  3734     392374.960           0    86                   16660               876              0                0            16660                    0 1027          2  4388          2      2         0                  0                 2                  0            0     4390     6585      1                  0  2833                   0                     0                   0          20
         24213              2407          0   1.000     65.556       141.999  5151     558792.920           0    79                   21428               348              0                0            21428                    0 1437          3  4841          3    923         0                  0                 3                  0         1599    14526     6456      1                  0  3770                   0                     0                   0          30
           588                68          0   1.000     39.044        39.044   172      16611.720           0     2                     486                14              0                0              486                    0   38          2   146          2     17         0                  0                 2                  0           58      296      222      0                  0   154                   0                     0                   0          20
         17758                 0          0       0          0             0  3783     396845.960           0    87                   16852               886              0                0            16852                    0 1044          2  4438          2      2         0                  0                 2                  0            0     4440     6660      1                  0  2866                   0                     0                   0          20
