## dioPeriod = 1.0
## burstTimestamp = 20
## minRssi = -97
## numMotes = 16
## otfHousekeepingPeriod = 5.0
## sixtopNoRemoveWorstCell = 0
## simDataDir = simData
## numChans = 16
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## pkPeriod = 1.0
## sixtopHousekeepingPeriod = 1.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## startTime = 1510982111.2
## slotDuration = 0.9
## numRuns = 2
## combinationKeys = ['numMotes', 'otfThreshold']
## gui = True
## numPacketsBurst = 5
## otfThreshold = 1
## noInterference = 0
## slotLength = 3000


# appGenerated appReachesDagroot appRelayed aveHops aveLatency aveQueueDelay awake chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs idle numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum scheduleCollisions sleep topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txQueueFill
          1303                25          2   1.000     45.400       235.000   354       8374.340           0     0                    1119                 9              0                0             1120                    0  201         14    74         14     61         1                  0                15                  5           20      694       96      0                  0  2647                   0                     0                   0         150
          2717                56          2   1.018     93.054       588.346   765      17417.500           0     1                    2494                17              0                0             2495                    0  440         14   157         14    108         1                  0                15                  5           44     1387      192      0                  0  5482                   0                     0                   0         150
          4131                88          2   1.023    125.330       811.416  1148      26512.960           0     2                    3868                25              0                0             3869                    0  665         14   240         14    155         1                  0                15                  5           68     2080      288      0                  0  8113                   0                     0                   0         150
          5545               119          2   1.017    142.714       930.124  1471      35556.120           0     3                    5243                33              0                0             5244                    0  837         14   323         14    201         1                  0                15                  5           87     2776      384      0                  0 10221                   0                     0                   0         150
          6959               152          2   1.013    153.480      1004.448  1797      44703.880           0     4                    6616                41              0                0             6617                    0 1032         14   406         14    251         1                  0                15                  5          105     3472      480      0                  0 12500                   0                     0                   0         150
          8373               182          2   1.011    158.538      1040.156  2113      53694.740           0     5                    7984                57              0                0             7985                    0 1229         14   489         14    297         1                  0                15                  5          121     4168      576      0                  0 14619                   0                     0                   0         150
          9787               210          2   1.010    163.224      1072.669  2461      62581.000           0     6                    9362                65              0                0             9363                    0 1415         14   572         14    342         1                  0                15                  5          138     4864      672      0                  0 16965                   0                     0                   0         150
         11201               240          2   1.008    166.833      1102.922  2818      71571.860           0     7                   10737                74              0                0            10738                    0 1613         14   655         14    390         1                  0                15                  5          154     5560      768      0                  0 19353                   0                     0                   0         150
         12615               270          2   1.007    170.144      1132.357  3210      80562.720           0     8                   12113                82              0                0            12114                    0 1824         14   738         14    436         1                  0                15                  5          167     6256      864      0                  0 21954                   0                     0                   0         150
         14029               299          2   1.007    173.087      1159.775  3539      89501.280           0     9                   13490                90              0                0            13491                    0 2014         14   821         14    481         1                  0                15                  5          180     6952      960      0                  0 24219                   0                     0                   0         150
         15443               331          2   1.006    177.257      1189.960  3921      98596.740           0    10                   14859               103              0                0            14860                    0 2233         14   904         14    529         1                  0                15                  5          193     7648     1056      0                  0 26784                   0                     0                   0         150
         16857               360          2   1.006    178.419      1201.103  4238     107535.300           0    11                   16232               115              0                0            16233                    0 2419         14   987         14    575         1                  0                15                  5          205     8344     1152      0                  0 28933                   0                     0                   0         150
         18271               391          2   1.005    180.665      1208.353  4521     116578.460           0    12                   17607               123              0                0            17608                    0 2594         14  1070         14    620         1                  0                15                  5          218     9040     1248      0                  0 30867                   0                     0                   0         150
         19685               423          2   1.005    181.385      1212.969  4869     125763.340           0    13                   18981               131              0                0            18982                    0 2802         14  1154         14    668         1                  0                15                  5          228     9736     1344      0                  0 33240                   0                     0                   0         150
         21099               452          2   1.004    181.746      1214.400  5224     134701.900           0    14                   20358               139              0                0            20359                    0 3004         14  1237         14    714         1                  0                15                  5          239    10432     1440      0                  0 35561                   0                     0                   0         150
         22513               483          2   1.004    181.872      1218.327  5504     143745.060           0    15                   21729               151              0                0            21730                    0 3149         14  1320         14    764         1                  0                15                  5          250    11128     1536      0                  0 37449                   0                     0                   0         150
         23927               513          2   1.004    181.277      1219.237  5731     152825.340           0    16                   23099               165              0                0            23100                    0 3263         14  1404         14    811         1                  0                15                  5          256    11708     1616      0                  0 38883                   0                     0                   0         150
         25341               546          2   1.004    182.993      1232.159  6059     162062.520           0    17                   24472               173              0                0            24473                    0 3458         14  1488         14    859         1                  0                15                  5          265    12404     1712      0                  0 41007                   0                     0                   0         150
